,nom,heure,date,etablissement,prix,adresse,commune,geo,Type activite,arrondissement
79,Chasse gardée,14:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
80,Chasse gardée,16:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
81,Chasse gardée,19:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
82,Chasse gardée,21:25,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
83,Jeff Panacloc : À la poursuite de Jean-Marc,09:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
84,Jeff Panacloc : À la poursuite de Jean-Marc,11:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
85,Jeff Panacloc : À la poursuite de Jean-Marc,13:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
86,Jeff Panacloc : À la poursuite de Jean-Marc,15:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
87,Jeff Panacloc : À la poursuite de Jean-Marc,17:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
88,Jeff Panacloc : À la poursuite de Jean-Marc,19:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
89,Jeff Panacloc : À la poursuite de Jean-Marc,21:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
90,Les Inséparables,09:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
91,Les Inséparables,11:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
92,Les Inséparables,13:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
93,Bâtiment 5,11:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
94,Bâtiment 5,19:25,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
95,Bâtiment 5,21:45,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
96,Perfect Days,09:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
97,Perfect Days,11:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
98,Perfect Days,14:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
99,Perfect Days,16:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
100,Perfect Days,19:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
101,Perfect Days,21:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
102,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,10:15,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
103,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,13:40,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
104,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,17:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
105,Hunger Games: la Ballade du serpent et de l'oiseau chanteur,20:30,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
