nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 9 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-09 20:00:00,20h00
Hommage à Carlos Roque Alsina,Salle Cortot,Mardi 9 Janvier  20h00,"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown,2024-01-09 20:00:00,20h00
Jorge Garcia Herranz et Isabelle Dabek,Espace Georges-Bernanos,Mercredi 10 Janvier  12h30,"4 rue du Havre, Paris, France",Paris 9e,unknown,"(2.32702, 48.874476)",,,unknown,unknown,2024-01-10 12:30:00,12h30
Elio di Tanna,Église Saint-Éphrem,Mercredi 10 Janvier  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-10 18:00:00,18h00
« Les Sept péchés capitaux » de Weill,Théâtre des Champs-Élysées,Mercredi 10 Janvier  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-79 €,"(2.303279, 48.865672)",28.0,79.0,,53.5,2024-01-10 19:30:00,19h30
Les Surprises,Maison de la Radio et de la Musique,Mercredi 10 Janvier  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-10 20:00:00,20h00
Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 10 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-10 20:00:00,20h00
Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 11 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-11 20:00:00,20h00
Il Concerto delle donne,Cathédrale Sainte-Croix-des-Arméniens,Mercredi 10 Janvier  20h00,"13 rue du Perche, Paris, France",Paris 3e,unknown,"(2.360811, 48.86107)",,,unknown,unknown,2024-01-10 20:00:00,20h00
Trio Lunae,Institut National des Jeunes Aveugles,Jeudi 11 Janvier  13h00,"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown,2024-01-11 13:00:00,13h00
Carl Norgate,Théâtre de l'Île Saint-Louis,Jeu 11 Janvier  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-11 18:30:00,18h30
Michaël Levinas,Église luthérienne Saint-Marcel,Jeudi 11 Janvier  19h00,"24 rue Pierre-Nicole, Paris, France",Paris 5e,unknown,"(2.339557, 48.840985)",,,unknown,unknown,2024-01-11 19:00:00,19h00
Adrien Polycarpe,Église Saint-Éphrem,Jeudi 11 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-11 19:30:00,19h30
Adrien Polycarpe,Église Saint-Éphrem, Mardi 16 Janvier  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-16 20:00:00,20h00
Orchestre de chambre de Paris et Roger Muraro,Théâtre des Champs-Élysées,Jeudi 11 Janvier  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-01-11 20:00:00,20h00
Orchestre Colonne et Roberto Alagna,Salle Gaveau,Jeudi 11 Janvier  20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-01-11 20:30:00,20h30
Fauré : Requiem,Auditorium Michel Laclotte - Musée du Louvre,Vendredi 12 Janvier  20h00,"Entrée principale : Pyramide (cour Napoléon), Paris, France",Paris 1er,unknown,"(2.445701, 48.83407)",,,unknown,unknown,2024-01-12 20:00:00,20h00
Mozart : Symphonie concertante,Maison de la Radio et de la Musique,Vendredi 12 Janvier  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-12 20:00:00,20h00
Poulenc : Concerto pour deux pianos,Opéra de Massy,Vendredi 12 Janvier  20h00,"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown,2024-01-12 20:00:00,20h00
Antonin Bonnet,Église Saint-Éphrem,Vendredi 12 Janvier  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-12 20:00:00,20h00
Orchestre de la Bastille,Église évangélique de Paris-Luxembourg,Vendredi 12 Janvier  20h30,"58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)",,,unknown,unknown,2024-01-12 20:30:00,20h30
Orchestre de la Bastille,Église évangélique de Paris-Luxembourg, Samedi 13 Janvier  20h30,"58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)",,,unknown,unknown,2024-01-13 20:30:00,20h30
Clémence Guerrand,Salle Cortot,Vendredi 12 Janvier  20h30,"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown,2024-01-12 20:30:00,20h30
"Mathieu Salama, airs pour Farinelli",Église Sainte-Élisabeth-de-Hongrie,Samedi 13 Janvier  16h00,"195 rue du Temple, Paris, France",Paris 3e,20-28 €,"(2.360839, 48.866005)",20.0,28.0,,24.0,2024-01-13 16:00:00,16h00
Axel Lebas,Église Saint-Thomas-d'Aquin,Samedi 13 Janvier  16h00,"1 place Saint-Thomas-d'Aquin, Paris, France",Paris 7e,unknown,"(2.327577, 48.856099)",,,unknown,unknown,2024-01-13 16:00:00,16h00
Natasha Kadyrova,Église Saint-Éphrem,Samedi 13 Janvier  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-13 16:30:00,16h30
Bruno Helstroffer,La Scala Paris,Samedi 13 Janvier  19h30,"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown,2024-01-13 19:30:00,19h30
Chicago Symphony Orchestra,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 13 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-13 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 13 Janvier  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-13 20:00:00,20h00
Au pays qui te ressemble,Archives nationales,Samedi 13 Janvier  20h00,"60 rue des Francs-Bourgeois Hôtel de Soubise, Paris, France",Paris 3e,unknown,"(2.357272, 48.859963)",,,unknown,unknown,2024-01-13 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 13 Janvier  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2024-01-13 20:45:00,20h45
Roger Muraro,Théâtre des Champs-Élysées,Dimanche 14 Janvier  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-01-14 11:00:00,11h00
Georges Bériachvili,Théâtre de l'Île Saint-Louis,Dim 14 Janvier  15h00,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2024-01-14 15:00:00,15h00
Fauré : Requiem,Église Saint-Roch,Dimanche 14 Janvier  15h00,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-01-14 15:00:00,15h00
Quatuor Casals,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 14 Janvier  16h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-14 16:00:00,16h00
Philhar'intime,Maison de la Radio et de la Musique,Dimanche 14 Janvier  16h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-14 16:00:00,16h00
"Mariko Akimoto, Henry Wyld et Armelle Choquard",Église évangélique de Courbevoie,Dimanche 14 Janvier  16h00,"12/14 rue Kilford, Paris, France",Courbevoie,unknown,"(2.251728, 48.900269)",,,unknown,unknown,2024-01-14 16:00:00,16h00
Jae Young Lim et Marie Vallin,Cathédrale Sainte-Geneviève,Dimanche 14 Janvier  16h00,"28 rue de l'Église, Paris, France",Nanterre,unknown,"(2.286545, 48.844691)",,,unknown,unknown,2024-01-14 16:00:00,16h00
Chœur grégorien de Brie-Comte-Robert et Michèle Guyard,Église Saint-Jean-Bosco,Dimanche 14 Janvier  16h00,"79 rue Alexandre-Dumas, Paris, France",Paris 20e,unknown,"(2.398182, 48.855013)",,,unknown,unknown,2024-01-14 16:00:00,16h00
Chœur de chambre Arthémys,Église Saint-Merry,Dimanche 14 Janvier  16h00,"76 rue de la Verrerie, Paris, France",Paris 4e,unknown,"(2.350691, 48.858888)",,,unknown,unknown,2024-01-14 16:00:00,16h00
Lorenzo Cipriani,Église Notre-Dame-de-Compassion,Dimanche 14 Janvier  16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown,2024-01-14 16:30:00,16h30
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Dimanche 14 Janvier  17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-14 17:00:00,17h00
Axel de Marnhac,Église Saint-Eustache,Dimanche 14 Janvier  17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown,2024-01-14 17:00:00,17h00
Christian Wachter,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 14 Janvier  17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown,2024-01-14 17:00:00,17h00
Kim Bernard et Na-Kyong Lee,L'Entrepôt,Dimanche 14 Janvier  17h30,"7 rue Francis de Pressensé, Paris, France",Paris 14e,unknown,"(2.316516, 48.833947)",,,unknown,unknown,2024-01-14 17:30:00,17h30
Quintette Pentagone,Église réformée de Port-Royal,Dimanche 14 Janvier  18h00,"18 boulevard Arago, Paris, France",Paris 13e,unknown,"(2.349222, 48.836162)",,,unknown,unknown,2024-01-14 18:00:00,18h00
Violette Erhart,Comédie Nation,Dimanche 14 Janvier  19h00,"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)",16.0,22.0,,19.0,2024-01-14 19:00:00,19h00
Pascal Mantin,Église Saint-Éphrem,Lundi 15 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-15 19:30:00,19h30
Grandeur et élégance,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 15 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-15 20:00:00,20h00
Quatuor Confluence,Amphithéâtre - Cité de la Musique-Philharmonie,Lundi 15 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-15 20:00:00,20h00
Bach : concertos pour violon(s),Chapelle royale - Château de Versailles,Lundi 15 Janvier  20h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown,2024-01-15 20:00:00,20h00
Vivaldi : Sonates pour violoncelle,Théâtre des Bouffes du Nord,Lundi 15 Janvier  20h00,"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)",,,unknown,unknown,2024-01-15 20:00:00,20h00
Viktoria Postnikova,Théâtre des Champs-Élysées,Mardi 16 Janvier  20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0,2024-01-16 20:00:00,20h00
Nemanja Radulović,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 16 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-16 20:00:00,20h00
Orchestre de l'Opéra royal,Salle Gaveau,Mardi 16 Janvier  20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-01-16 20:30:00,20h30
Olga Jegunova,Salle Cortot,Mardi 16 Janvier  20h30,"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown,2024-01-16 20:30:00,20h30
Valérie Aimard,Collège des Bernardins,Mercredi 17 Janvier  12h30,"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown,2024-01-17 12:30:00,12h30
"Clara & Robert Schumann, deux trios en miroir",Église réformée de la Bastille - Temple du Foyer de l'Âme,Mercredi 17 Janvier  12h30,"7 bis rue du Pasteur Wagner, Paris, France",Paris 11e,unknown,"(2.369562, 48.855832)",,,unknown,unknown,2024-01-17 12:30:00,12h30
Loann Fourmental,Église Saint-Éphrem,Mercredi 17 Janvier  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-17 19:00:00,19h00
Orchestre de Paris et Martin Fröst,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 17 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-17 20:00:00,20h00
Orchestre de Paris et Martin Fröst,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 18 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-18 20:00:00,20h00
Quatuor Borodine,Salle des concerts - Cité de la Musique-Philharmonie,Mercredi 17 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-17 20:00:00,20h00
Berlioz : Symphonie fantastique,Maison de la Radio et de la Musique,Mercredi 17 Janvier  20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown,2024-01-17 20:00:00,20h00
Félicien Brut et Édouard Macarez,Le Bal Blomet,Mercredi 17 Janvier  20h00,"33 rue Blomet, Paris, France",Paris 15e,unknown,"(2.306136, 48.84274)",,,unknown,unknown,2024-01-17 20:00:00,20h00
Théo Ould,Café de la Danse,Mercredi 17 Janvier  20h00,"5 passage Louis-Philippe, Paris, France",Paris 11e,unknown,"(2.372934, 48.854058)",,,unknown,unknown,2024-01-17 20:00:00,20h00
Maha Zahid,Institut National des Jeunes Aveugles,Jeudi 18 Janvier  13h00,"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown,2024-01-18 13:00:00,13h00
Elio di Tanna,Église Saint-Éphrem,Jeudi 18 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-18 19:30:00,19h30
Quatuor Belcea,Salle des concerts - Cité de la Musique-Philharmonie,Jeudi 18 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-18 20:00:00,20h00
Chœur de Grenelle,Église Saint-Roch,Jeudi 18 Janvier  20h30,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown,2024-01-18 20:30:00,20h30
Quatuor Leonkoro,Amphithéâtre - Cité de la Musique-Philharmonie,Vendredi 19 Janvier  18h30,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-19 18:30:00,18h30
Berlioz : Symphonie fantastique,Grande salle Pierre Boulez - Philharmonie de Paris,Vendredi 19 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-19 20:00:00,20h00
Quatuor Modigliani,Salle des concerts - Cité de la Musique-Philharmonie,Vendredi 19 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-19 20:00:00,20h00
Krzysztof Michalski,Église Saint-Éphrem,Vendredi 19 Janvier  20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-19 20:00:00,20h00
Orchestre Les Violons de France,Église de la Madeleine,Vendredi 19 Janvier  20h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-19 20:30:00,20h30
Orchestre Les Violons de France,Église de la Madeleine, Mardi 23 Janvier  20h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2024-01-23 20:30:00,20h30
Marie Dumas,Église Saint-Pierre de Montmartre,Samedi 20 Janvier  12h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-01-20 12:00:00,12h00
Empereur,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 20 Janvier  15h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-20 15:00:00,15h00
Ensemble Beata Musica,Église évangélique de Paris-Luxembourg,Samedi 20 Janvier  16h00,"58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)",,,unknown,unknown,2024-01-20 16:00:00,16h00
Chœur du cours Florent,Église de la Madeleine,Samedi 20 Janvier  16h00,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown,2024-01-20 16:00:00,16h00
Pascal Mantin,Église Saint-Éphrem,Samedi 20 Janvier  17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-20 17:00:00,17h00
Requiem solaire,Théâtre de l'Aquarium - Cartoucherie,Samedi 20 Janvier  18h00,"route du Champ de Manœuvre (navette cartoucherie gratuite), Paris, France",Paris 12e,unknown,"(2.450645, 48.835062)",,,unknown,unknown,2024-01-20 18:00:00,18h00
Romantiques allemands,Église réformée de Pentemont,Samedi 20 Janvier  18h00,"106 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.3217, 48.85637)",,,unknown,unknown,2024-01-20 18:00:00,18h00
Jasmina Kulaglich et Aurelienne Brauner,Conservatoire Rachmaninoff,Samedi 20 Janvier  19h00,"26 avenue de New York, Paris, France",Paris 16e,unknown,"(2.295934, 48.863337)",,,unknown,unknown,2024-01-20 19:00:00,19h00
Mahler Chamber Orchestra et Yuja Wang ,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 20 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-20 20:00:00,20h00
Quatuor Jérusalem,Salle des concerts - Cité de la Musique-Philharmonie,Samedi 20 Janvier  20h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-20 20:00:00,20h00
Bertrand Cervera,Église Saint-Germain-des-Prés,Samedi 20 Janvier  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-01-20 20:30:00,20h30
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Samedi 20 Janvier  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2024-01-20 20:45:00,20h45
Quatuor Hanson,Théâtre des Champs-Élysées,Dimanche 21 Janvier  11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0,2024-01-21 11:00:00,11h00
Monteverdi : Vêpres de la Vierge,Chapelle royale - Château de Versailles,Dimanche 21 Janvier  15h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)",,,unknown,unknown,2024-01-21 15:00:00,15h00
Duo Y'voir,Cathédrale américaine,Dimanche 21 Janvier  15h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown,2024-01-21 15:00:00,15h00
Quatuor Hagen,Salle des concerts - Cité de la Musique-Philharmonie,Dimanche 21 Janvier  16h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-21 16:00:00,16h00
Umberto Realino,Église Saint-Merry,Dimanche 21 Janvier  16h00,"76 rue de la Verrerie, Paris, France",Paris 4e,unknown,"(2.350691, 48.858888)",,,unknown,unknown,2024-01-21 16:00:00,16h00
Adrien Polycarpe,Église Saint-Éphrem,Dimanche 21 Janvier  16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-21 16:30:00,16h30
Patrick Delabre,Église Sainte-Marie,Dimanche 21 Janvier  16h30,"2 rue de l'Abbaye, Paris, France",Antony,unknown,"(2.336018, 48.854021)",,,unknown,unknown,2024-01-21 16:30:00,16h30
"Sanae Rodière, Akie Kakehi, Marion Rodière et Akiko Takao",Église Notre-Dame-de-Compassion,Dimanche 21 Janvier  16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown,2024-01-21 16:30:00,16h30
Orchestre du campus d'Orsay,Campus d'Orsay - Amphithéâtre Henri Cartan,Dimanche 21 Janvier  17h00,"598 rue André Rivière, Paris, France",Orsay,unknown,"(2.309088, 48.87276)",,,unknown,unknown,2024-01-21 17:00:00,17h00
Thomas Ospital,Église Saint-Eustache,Dimanche 21 Janvier  17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)",,,unknown,unknown,2024-01-21 17:00:00,17h00
Pierre Hamon,Église Saint-Pierre de Montmartre,Dimanche 21 Janvier  18h00,"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown,2024-01-21 18:00:00,18h00
Quatuor Modigliani et Quatuor Leonkoro,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 21 Janvier  19h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-21 19:00:00,19h00
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,Dimanche 21 Janvier  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2024-01-21 20:30:00,20h30
Natasha Kadyrova,Église Saint-Éphrem,Lundi 22 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-22 19:30:00,19h30
Royal Concertgebouw Orchestra et Emanuel Ax,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 22 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-22 20:00:00,20h00
« Atys » de Lully,Opéra royal - Château de Versailles,Lundi 22 Janvier  20h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,83-128 €,"(2.352558, 48.881934)",83.0,128.0,,105.5,2024-01-22 20:00:00,20h00
"Mozart, mon amour",Salle Gaveau,Lundi 22 Janvier  20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown,2024-01-22 20:30:00,20h30
Nouveaux Mondes,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 23 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-23 20:00:00,20h00
Valérie Aimard,Collège des Bernardins,Mercredi 24 Janvier  12h30,"20 rue de Poissy, Paris, France",Paris 5e,unknown,"(2.352281, 48.848859)",,,unknown,unknown,2024-01-24 12:30:00,12h30
Adrien Polycarpe,Église Saint-Éphrem,Mercredi 24 Janvier  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-24 19:00:00,19h00
Adrien Polycarpe,Église Saint-Éphrem, Mardi 30 Janvier  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-30 19:30:00,19h30
Airs et ensembles d'opéra,Opéra Garnier,Mercredi 24 Janvier  20h00,"place de l'Opéra, Paris, France",Paris 9e,unknown,"(2.332168, 48.871117)",,,unknown,unknown,2024-01-24 20:00:00,20h00
Orchestre de Paris et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,Mercredi 24 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-24 20:00:00,20h00
Orchestre de Paris et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris, Jeudi 25 Janvier  20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown,2024-01-25 20:00:00,20h00
Les Affranchi.e.s,ECUJE,Mercredi 24 Janvier  20h00,"119 rue La Fayette, Paris, France",Paris 10e,unknown,"(2.352993, 48.878354)",,,unknown,unknown,2024-01-24 20:00:00,20h00
"L'art des études, rencontre entre l'artisanat européen et japonais",Musée Guimet,Mercredi 24 Janvier  20h00,"6 place d'Iéna, Paris, France",Paris 16e,unknown,"(2.293702, 48.865019)",,,unknown,unknown,2024-01-24 20:00:00,20h00
Gary Hoffman et David Selig,Église Saint-Paul de la Plaine,Jeu 25 Janvier  12h30,"29 rue du Landy, Paris, France",Saint-Denis,unknown,"(2.379588, 48.851389)",,,unknown,unknown,2024-01-25 12:30:00,12h30
Pascal Gallet,Institut National des Jeunes Aveugles,Jeudi 25 Janvier  13h00,"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown,2024-01-25 13:00:00,13h00
Carl Orff : Carmina Burana,Théâtre des Champs-Élysées,Jeudi 25 Janvier  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-01-25 19:30:00,19h30
Carl Orff : Carmina Burana,Théâtre des Champs-Élysées, Vendredi 26 Janvier  19h30,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown,2024-01-26 19:30:00,19h30
