nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
"Orchestre Amplitude, Chœur Tempestuoso et solistes",Église Saint-Sulpice,Jeudi 28 Décembre  20h30,"Place Saint-Sulpice, Paris, France",Paris 6e,unknown,"(2.33352, 48.851186)",,,unknown,unknown,2023-12-28 20:30:00,20h30
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Jeudi 28 Décembre  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2023-12-28 20:45:00,20h45
Orchestre Les Violons de France,Église Saint-Éphrem,Vendredi 29 Décembre  17h00,"17 rue des Carmes, Paris, France",Paris 5e,unknown,"(2.347335, 48.848424)",,,unknown,unknown,2023-12-29 17:00:00,17h00
Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,Vendredi 29 Décembre  18h00,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-29 18:00:00,18h00
Georges Bériachvili,Théâtre de l'Île Saint-Louis,Ven 29 Décembre  18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown,2023-12-29 18:30:00,18h30
Pascal Mantin,Église Saint-Éphrem,Vendredi 29 Décembre  19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-29 19:00:00,19h00
Pascal Mantin,Église Saint-Éphrem, Dimanche 31 Décembre  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-31 18:00:00,18h00
Philippe Alègre,Église Saint-Julien-le-Pauvre,Vendredi 29 Décembre  20h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0,2023-12-29 20:00:00,20h00
Philippe Alègre,Église Saint-Julien-le-Pauvre, Lundi 1er Janvier  16h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0,2024-01-01 16:00:00,16h00
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Vendredi 29 Décembre  20h45,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0,2023-12-29 20:45:00,20h45
Orchestre Paul Kuentz,Église Saint-Germain-des-Prés,Vendredi 29 Décembre  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2023-12-29 20:45:00,20h45
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,Sam 30 Décembre  15h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2023-12-30 15:00:00,15h00
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île, Dim 31 Décembre  16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown,2023-12-31 16:00:00,16h00
Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,Samedi 30 Décembre  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-30 16:00:00,16h00
