,Adresse,Arr.,Date D'Ouverture,Nombre De Sièges,Notes,Adresse_complete,Coordonnees
Théâtre du Temps,"9, rue du Morvan",11e,1980,50,"Le théâtre du Temps est en 1980 le premier théâtre de France consacré à la création dramatique franco-japonaise.
Depuis 2007, il est repris par Mickaël Sabbah et s'oriente dorénavant vers la création contemporaine.","9, rue du Morvan, Paris, France","(2.381571, 48.860075)"
Théâtre 13,"103A, boulevard Auguste-Blanqui",13e,1981,250 et 224,,"103A, boulevard Auguste-Blanqui, Paris, France","(2.344855, 48.828836)"
Le Trianon,80 boulevard de Rochechouart,18e,1894,1091,,"80 boulevard de Rochechouart, Paris, France","(2.343026, 48.882862)"
Théâtre Tristan-Bernard,64 rue du Rocher,8e,1919,400,Ancien nom : théâtre Albert-Ier,"64 rue du Rocher, Paris, France","(2.31922, 48.878811)"
Théâtre Trévise,14 rue de Trévise,9e,,,,"14 rue de Trévise, Paris, France","(2.345293, 48.873478)"
Théâtre des Variétés,7 boulevard Montmartre,2e,1807,800,,"7 boulevard Montmartre, Paris, France","(2.342142, 48.871471)"
Théâtre du Vieux-Colombier,"21, rue du Vieux-Colombier",6e,1913,300,Il s'agit de l'une des trois salles de la Comédie-Française. Les deux autres salles sont la salle Richelieu et le Studio-Théâtre.,"21, rue du Vieux-Colombier, Paris, France","(2.330275, 48.851775)"
Théâtre de la Ville,"2, place du Châtelet",4e,1862,1 000,"Anciennement théâtre Sarah Bernhardt, renommé sous l'occupation allemande, en raison des origines juives de cette dernière.","2, place du Châtelet, Paris, France","(2.34779, 48.857346)"
Vingtième théâtre,"7, rue des Plâtrières",20e,1994,245,,"7, rue des Plâtrières, Paris, France","(2.38947, 48.867888)"
Apollo Théâtre,"18, rue du Faubourg-du-Temple",11e,,360 - 200 - 130 - 90,Anciennement théâtre du Temple,"18, rue du Faubourg-du-Temple, Paris, France","(2.3661, 48.868315)"
Le Zèbre,"61-63, boulevard de Belleville",11e,1939,,"Anciens noms : le Nox, le Berry et le Berry Zèbre","61-63, boulevard de Belleville, Paris, France","(2.378738, 48.870187)"
Théâtre de Belleville,"94, rue du Faubourg-du-Temple",11e,2011,96,Anciennement le Tambour royal,"94, rue du Faubourg-du-Temple, Paris, France","(2.374277, 48.871037)"
Théâtre Dunois,7 rue Louise-Weiss,13e,1977,,,"7 rue Louise-Weiss, Paris, France","(2.370542, 48.83318)"
IVT - International Visual Theatre,7 cité Chaptal,9e,2007,185,Anciennement le théâtre du Grand Guignol,"7 cité Chaptal, Paris, France","(2.333126, 48.881432)"
