Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,Coordonnees,prix min,prix max,prix unique,prix moyen
16,Un chalet à Gstaad,Théâtre des Nouveautés,<b>Du 1 décembre 2023 au 28 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,20-44 €,"(48.858841, 2.370225)",20.0,44.0,,32.0
17,Changer l'eau des fleurs,Théâtre de la Renaissance,<b>Du 17 août 2023 au 7 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-54 €,"(48.858841, 2.370225)",15.0,54.0,,34.5
18,Les femmes ont toujours raison les hommes n'ont jamais tort,Théâtre Le Passage vers les Étoiles,<b>Du 17 septembre 2021 au 5 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-55 €,"(48.858841, 2.370225)",13.0,55.0,,34.0
19,La Machine de Turing,Théâtre du Palais-Royal,<b>Du 18 août 2023 au 27 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-79 €,"(48.858841, 2.370225)",14.0,79.0,,46.5
20,La Note,Théâtre des Bouffes Parisiens,<b>Du 21 septembre 2023 au 31 décembre 2023</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
21,L'Heure des assassins,Théâtre du Lucernaire,<b>Du 25 octobre 2023 au 21 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
22,Cyrano de Bergerac,Comédie-Française - Salle Richelieu,<b>Du 8 décembre 2023 au 8 avril 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
23,Pourquoi les femmes aiment les connards ?,La Grande Comédie,<b>Du 22 novembre 2023 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,10-30 €,"(48.858841, 2.370225)",10.0,30.0,,20.0
24,Une bonne bière,Le Funambule Montmartre,<b>Du 19 octobre 2023 au 25 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,11-33 €,"(48.858841, 2.370225)",11.0,33.0,,22.0
25,Le Coucou,Théâtre Edgar,<b>Du 3 octobre 2023 au 14 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,23-41 €,"(48.858841, 2.370225)",23.0,41.0,,32.0
26,Une journée particulière,Théâtre de l'Atelier,<b>Du 2 décembre 2023 au 31 décembre 2023</b>,5 rue Nicolas-Appert,Paris 11e,33-51 €,"(48.858841, 2.370225)",33.0,51.0,,42.0
27,Révélations,Théâtre de Passy,<b>Du 25 novembre 2023 au 16 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-46 €,"(48.858841, 2.370225)",14.0,46.0,,30.0
28,L'Amour chez les autres,Théâtre Édouard VII,<b>Du 18 janvier 2024 au 19 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,30-75 €,"(48.858841, 2.370225)",30.0,75.0,,52.5
29,"Et pendant ce temps, Simone veille !",Comédie Bastille,<b>Du 13 mai 2017 au 30 juin 2024</b>,5 rue Nicolas-Appert,Paris 11e,13-64 €,"(48.858841, 2.370225)",13.0,64.0,,38.5
30,Arsène Lupin,Théâtre du Lucernaire,<b>Du 8 novembre 2023 au 28 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,33-55 €,"(48.858841, 2.370225)",33.0,55.0,,44.0
31,Le Bracelet,Théâtre des Nouveautés,<b>Du 14 février 2024 au 5 mai 2024</b>,5 rue Nicolas-Appert,Paris 11e,20-79 €,"(48.858841, 2.370225)",20.0,79.0,,49.5
32,Lapin,Théâtre Édouard VII,<b>Du 21 septembre 2023 au 6 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-120 €,"(48.858841, 2.370225)",15.0,120.0,,67.5
33,Le Cercle des poètes disparus,Théâtre Antoine,<b>Du 23 janvier 2024 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,22-79 €,"(48.858841, 2.370225)",22.0,79.0,,50.5
34,Les gros patinent bien,Théâtre Saint-Georges,<b>Du 15 septembre 2023 au 24 février 2024</b>,5 rue Nicolas-Appert,Paris 11e,24-66 €,"(48.858841, 2.370225)",24.0,66.0,,45.0
35,La Fontaine et le confinement,Théâtre Montparnasse,<b>Du 9 octobre 2023 au 4 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
36,Stars d'un soir,La Grande Comédie,<b>Du 19 octobre 2023 au 31 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-98 €,"(48.858841, 2.370225)",14.0,98.0,,56.0
37,"C'est beau l'amour, mais ça part toujours en couilles !",La Comédie du Onzième,<b>Du 14 octobre 2022 au 3 mars 2024</b>,5 rue Nicolas-Appert,Paris 11e,14-39 €,"(48.858841, 2.370225)",14.0,39.0,,26.5
38,Le Voyage de Gulliver,Athénée Théâtre Louis-Jouvet,<b>Du 21 décembre 2023 au 4 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,15-40 €,"(48.858841, 2.370225)",15.0,40.0,,27.5
39,Le Bourgeois gentilhomme,Comédie-Française - Salle Richelieu,<b>Du 17 novembre 2023 au 15 janvier 2024</b>,5 rue Nicolas-Appert,Paris 11e,unknown,"(48.858841, 2.370225)",,,unknown,unknown
