,Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,coordonnees
382,387,London Symphony Orchestra et Isabelle Faust,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 10 Mars : 16h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
383,388,Philhar'intime,Maison de la Radio et de la Musique,Dimanche 10 Mars : 16h00,"116 avenue du Président KennedyParis, France",Paris 16e,unknown,"(2.279529, 48.852149)"
384,389,Natasha Kadyrova,Église Saint-Éphrem,Dimanche 10 Mars : 16h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
385,391,Duo Maloney-Olivieri,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 10 Mars : 17h00,"27 boulevard JourdanParis, France",Paris 14e,unknown,"(3.230885, 43.349328)"
386,392,Maxime Sauze,Église Saint-Éphrem,Lundi 11 Mars : 19h30,"17 rue des CarmesParis, France",Paris 5e,16-25 €,"(0.215366, 48.018756)"
387,393,Orchestre symphonique de la Radio suédoise et Maria João Pires,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 11 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
388,394,Quella fiamma !,Château de Versailles,Lundi 11 Mars : 20h00,"4 boulevard de la ReineParis, France",Versailles,unknown,"(-0.755206, 48.060904)"
389,395,Béla par Bartók,Auditorium Patrick Devedjian - La Seine Musicale,Mardi 12 Mars : 19h00,"1 île SeguinParis, France",Boulogne-Billancourt,unknown,"(-1.658202, 48.12346)"
390,396,Orchestre national d'Île-de-France et Boris Giltburg,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 12 Mars : 20h00,"221 avenue Jean-JaurèsParis, France",Paris 19e,unknown,"(-1.658612, 43.400892)"
391,397,Duel Liszt / Thalberg,Cathédrale Saint-Louis-des-Invalides - Hôtel National des Invalides,Mardi 12 Mars : 20h00,"129 rue de Grenelle Hôtel National des InvalidesParis, France",Paris 7e,unknown,"(4.662361, 46.614745)"
