nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"['Mercredi 3 Janvier : 19h00', ' Vendredi 5 Janvier : 19h00', ' Samedi 6 Janvier : 19h00']","1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0
Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,['Mercredi 3 Janvier : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
L'Art d'être bête,Théâtre de Poche-Montparnasse,"['Mercredi 3 Janvier : 19h00', ' Jeudi 4 Janvier : 19h00', ' Dimanche 7 Janvier : 15h00']","75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0
Philippe Alègre,Église Saint-Julien-le-Pauvre,['Jeudi 4 Janvier : 19h00'],"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0
Pascal Mantin,Église Saint-Éphrem,['Jeudi 4 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
« The Fairy Queen » de Purcell,Salle des concerts - Cité de la Musique-Philharmonie,"['Jeudi 4 Janvier : 20h00', ' Samedi 6 Janvier : 20h00']","221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Beethoven : Symphonie n°9,Maison de la Radio et de la Musique,"['Jeudi 4 Janvier : 20h00', ' Vendredi 5 Janvier : 20h00']","116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Orchestre Les Violons de France,Église de la Madeleine,['Jeudi 4 Janvier : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,['Vendredi 5 Janvier : 18h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Robert Millardet,Théâtre de l'Île Saint-Louis,"['Ven 5 Janvier : 18h30', ' Sam 6 Janvier : 18h30']","39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
Krzysztof Michalski,Église Saint-Éphrem,['Samedi 6 Janvier : 16h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Westbourne Grammar School,Église de la Madeleine,['Samedi 6 Janvier : 16h00'],"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown
Les Alizés,Couvent des Dominicains,['Samedi 6 Janvier : 16h00'],"222 rue du Faubourg Saint-Honoré, Paris, France",Paris 8e,unknown,"(2.303597, 48.875804)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Samedi 6 Janvier : 18h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Soline Marzac et Cristian Monti,L'Accord Parfait,['Samedi 6 Janvier : 20h00'],"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,['Samedi 6 Janvier : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 6 Janvier : 20h30'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Trio Wanderer,Théâtre des Champs-Élysées,['Dimanche 7 Janvier : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Duo Métis,Cathédrale américaine,['Dimanche 7 Janvier : 15h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Roses dans la nuit,Salle des concerts - Cité de la Musique-Philharmonie,['Dimanche 7 Janvier : 16h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Louis-en-l'Île,['Dim 7 Janvier : 16h00'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown
Robin Stephenson et Jean-Marc Kérisit,Maison de l'Asie du Sud-Est,['Dimanche 7 Janvier : 16h00'],"59 bis boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.334607, 48.821424)",,,unknown,unknown
Olivier Périn,Église de la Madeleine,['Dimanche 7 Janvier : 16h00'],"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown
"Jocelyne Lucas, Daniel Dato et Céline Mata",Église Sainte-Marie-des-Batignolles,['Dimanche 7 Janvier : 16h00'],"77 place du docteur Félix-Lobligeois, Paris, France",Paris 17e,unknown,"(2.317581, 48.886824)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Dimanche 7 Janvier : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Dominique Hofer,Église Notre-Dame-de-Compassion,['Dimanche 7 Janvier : 16h30'],"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)",,,unknown,unknown
Thomas Ospital,Église Saint-Eustache,['Dimanche 7 Janvier : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.344672, 48.863765)",,,unknown,unknown
La Caravelle des Arts,Temple protestant du Raincy,['Dimanche 7 Janvier : 17h00'],"17 allée de l'Ermitage, Paris, France",Le Raincy,unknown,"(2.391501, 48.86994)",,,unknown,unknown
Nathalie Gaubery et Lorenzo Cipriani,Chapelle de l'Agneau de Dieu,['Dimanche 7 Janvier : 17h00'],"2 place Henri-Frenay, Paris, France",Paris 12e,unknown,"(2.37749, 48.844629)",,,unknown,unknown
Sextuor de clarinettes de la Garde républicaine et Guillaume Paire,Église du Val-de-Grâce,['Dimanche 7 Janvier : 17h30'],"1 place Alphonse-Laveran, Paris, France",Paris 5e,unknown,"(2.341092, 48.840815)",,,unknown,unknown
Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,['Dimanche 7 Janvier : 18h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Lundi 8 Janvier : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
"Les Frivolités Parisiennes, Golda Schultz, Amitai Pati et Pene Pati",Théâtre des Champs-Élysées,['Lundi 8 Janvier : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,33-115 €,"(2.303279, 48.865672)",33.0,115.0,,74.0
« Atalia » de Gasparini,Château de Versailles,['Lundi 8 Janvier : 20h00'],"4 boulevard de la Reine, Paris, France",Versailles,71-115 €,"(2.354865, 48.837227)",71.0,115.0,,93.0
Quatuor Dutilleux,Musée d'Orsay,['Mardi 9 Janvier : 12h30'],"1 rue de la Légion d'Honneur, Paris, France",Paris 7e,unknown,"(2.32513, 48.860379)",,,unknown,unknown
Carl Norgate,Théâtre de l'Île Saint-Louis,['Mar 9 Janvier : 18h30'],"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
« Iphigénie en Tauride » de Desmarest et Campra,Théâtre des Champs-Élysées,['Mardi 9 Janvier : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)",28.0,89.0,,58.5
Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 9 Janvier : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Hommage à Carlos Roque Alsina,Salle Cortot,['Mardi 9 Janvier : 20h00'],"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)",,,unknown,unknown
Jorge Garcia Herranz et Isabelle Dabek,Espace Georges-Bernanos,['Mercredi 10 Janvier : 12h30'],"4 rue du Havre, Paris, France",Paris 9e,unknown,"(2.32702, 48.874476)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,['Mercredi 10 Janvier : 18h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
« Les Sept péchés capitaux » de Weill,Théâtre des Champs-Élysées,['Mercredi 10 Janvier : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,28-79 €,"(2.303279, 48.865672)",28.0,79.0,,53.5
Les Surprises,Maison de la Radio et de la Musique,['Mercredi 10 Janvier : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 10 Janvier : 20h00', ' Jeudi 11 Janvier : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Il Concerto delle donne,Cathédrale Sainte-Croix-des-Arméniens,['Mercredi 10 Janvier : 20h00'],"13 rue du Perche, Paris, France",Paris 3e,unknown,"(2.360811, 48.86107)",,,unknown,unknown
Trio Lunae,Institut National des Jeunes Aveugles,['Jeudi 11 Janvier : 13h00'],"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)",,,unknown,unknown
Carl Norgate,Théâtre de l'Île Saint-Louis,['Jeu 11 Janvier : 18h30'],"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
Michaël Levinas,Église luthérienne Saint-Marcel,['Jeudi 11 Janvier : 19h00'],"24 rue Pierre-Nicole, Paris, France",Paris 5e,unknown,"(2.339557, 48.840985)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,"['Jeudi 11 Janvier : 19h30', ' Mardi 16 Janvier : 20h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre de chambre de Paris et Roger Muraro,Théâtre des Champs-Élysées,['Jeudi 11 Janvier : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Orchestre Colonne et Roberto Alagna,Salle Gaveau,['Jeudi 11 Janvier : 20h30'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Fauré : Requiem,Auditorium Michel Laclotte - Musée du Louvre,['Vendredi 12 Janvier : 20h00'],"Entrée principale : Pyramide (cour Napoléon), Paris, France",Paris 1er,unknown,"(2.445701, 48.83407)",,,unknown,unknown
Mozart : Symphonie concertante,Maison de la Radio et de la Musique,['Vendredi 12 Janvier : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Poulenc : Concerto pour deux pianos,Opéra de Massy,['Vendredi 12 Janvier : 20h00'],"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown
