nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Les frères Haydn,Église Saint-Roch,"['Samedi 3 Février : 20h30', ' Dimanche 4 Février : 15h00']","296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 3 Février : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
« Didon et Énée » de Purcell,Théâtre des Champs-Élysées,['Dimanche 4 Février : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Ludwig m'a chanté,Théâtre de l'Aquarium - Cartoucherie,['Dimanche 4 Février : 15h00'],"route du Champ de Manœuvre (navette cartoucherie gratuite), Paris, France",Paris 12e,13-24 €,"(2.450645, 48.835062)",13.0,24.0,,18.5
Jorge Garcia Herranz,Cathédrale américaine,['Dimanche 4 Février : 15h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Haydn : Les Sept Dernières Paroles du Christ en Croix,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 4 Février : 16h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Natasha Kadyrova et Marina Kolomitceva,Église Saint-Éphrem,['Dimanche 4 Février : 16h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre de l'Académie de l'île Saint-Louis,Église Saint-Louis-en-l'Île,['Dim 4 Février : 16h00'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown
Musiques de Couronnement,Campus d'Orsay - Amphithéâtre Henri Cartan,['Dimanche 4 Février : 16h00'],"598 rue André Rivière, Paris, France",Orsay,unknown,"(2.309088, 48.87276)",,,unknown,unknown
Ensemble Beata Musica,Hôpital Tenon,['Dimanche 4 Février : 16h00'],"4 rue de la Chine, Paris, France",Paris 20e,unknown,"(2.400762, 48.86572)",,,unknown,unknown
Umberto Realino,Chapelle de l'Agneau de Dieu,['Dimanche 4 Février : 17h00'],"2 place Henri-Frenay, Paris, France",Paris 12e,unknown,"(2.37749, 48.844629)",,,unknown,unknown
Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,['Dimanche 4 Février : 18h00'],"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)",,,unknown,unknown
Olivier Schmitt,Église Saint-Pierre de Montmartre,['Dimanche 4 Février : 18h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
« Don Giovanni » de Mozart,Théâtre des Champs-Élysées,['Lundi 5 Février : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Loann Fourmental,Église Saint-Éphrem,['Lundi 5 Février : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Cuarteto Chagall et Angélica Rodríguez,Athénée Théâtre Louis-Jouvet,['Lundi 5 Février : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,15-31 €,"(2.329072, 48.87183)",15.0,31.0,,23.0
Orchestre national du Capitole de Toulouse,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 5 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Elisabeth Leonskaja,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 6 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
"Sonia Wieder-Atherton, Amaryllis Billet et Françoise Rivalland",Auditorium Patrick Devedjian - La Seine Musicale,['Mardi 6 Février : 20h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Orchestre Les Violons de France,Église de la Madeleine,['Mercredi 7 Février : 19h30'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre de chambre de Paris et Christian Tetzlaff,Théâtre des Champs-Élysées,['Mercredi 7 Février : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,15-52 €,"(2.303279, 48.865672)",15.0,52.0,,33.5
Orchestre de Paris et Nina Stemme,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 7 Février : 20h00', ' Jeudi 8 Février : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
« Didon et Énée » de Purcell / « Jephté » de Carissimi,Théâtre des Champs-Élysées,['Jeudi 8 Février : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Maxime Sauze,Église Saint-Éphrem,['Jeudi 8 Février : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Chœur de Grenelle,Église Saint-Roch,['Jeudi 8 Février : 20h30'],"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)",,,unknown,unknown
Teva Mazoyer,Église Saint-Éphrem,['Vendredi 9 Février : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Ballades musicales,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 10 Février : 15h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,"['Samedi 10 Février : 16h30', ' Mardi 13 Février : 19h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Gautier Capuçon et Daniil Trifonov,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 10 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 10 Février : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Le Monde de Ravel,Auditorium Patrick Devedjian - La Seine Musicale,['Samedi 10 Février : 20h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Samedi 10 Février : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Adam Laloum,Théâtre des Champs-Élysées,['Dimanche 11 Février : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)",16.0,28.0,,22.0
Remi Masunaga,Église Saint-Éphrem,['Dimanche 11 Février : 16h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
West Side Story & Porgy and Bess,Auditorium Patrick Devedjian - La Seine Musicale,['Dimanche 11 Février : 16h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Adriana von Franqué,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 11 Février : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
Illya Amar,Église Saint-Pierre de Montmartre,['Dimanche 11 Février : 18h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Lundi 12 Février : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
"Anna Prohaska, Lars Eidinger et Eric Schneider",Athénée Théâtre Louis-Jouvet,['Lundi 12 Février : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5
The Beggar's Ensemble,La Scala Paris,['Mardi 13 Février : 19h30'],"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)",,,unknown,unknown
Beatrice Rana,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 13 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,['Mercredi 14 Février : 19h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Stéphane Degout et Alain Planès,Opéra Comique,['Mercredi 14 Février : 20h00'],"1 place Boïeldieu, Paris, France",Paris 2e,21-55 €,"(2.337655, 48.870671)",21.0,55.0,,38.0
« L'Orfeo » de Monteverdi,Grande salle Pierre Boulez - Philharmonie de Paris,['Mercredi 14 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orchestre Les Violons de France,Église de la Madeleine,['Mercredi 14 Février : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Loann Fourmental,Église Saint-Éphrem,['Jeudi 15 Février : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Mahler : Symphonie n°6,Maison de la Radio et de la Musique,['Vendredi 16 Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Antonin Bonnet,Église Saint-Éphrem,['Vendredi 16 Février : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Adrien Polycarpe,Église Saint-Éphrem,"['Samedi 17 Février : 17h30', ' Mardi 20 Février : 19h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,['Samedi 17 Février : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église de la Madeleine,['Samedi 17 Février : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Métamorphoses,Opéra Garnier,['Dimanche 18 Février : 12h00'],"place de l'Opéra, Paris, France",Paris 9e,39 €,"(2.332168, 48.871117)",,,39.0,39.0
Orchestre Les Solistes français et Paul Rouger,Église Saint-Louis-en-l'Île,['Dim 18 Février : 16h00'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Dimanche 18 Février : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Émilie Clément-Planche et Anastasie Jeanne,Église Saint-Pierre de Montmartre,['Dimanche 18 Février : 18h00'],"2 rue du Mont-Cenis, Paris, France",Paris 18e,unknown,"(2.341507, 48.886708)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,['Lundi 19 Février : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Plamena Mangova,Maison de la Radio et de la Musique,['Mardi 20 Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,['Mercredi 21 Février : 17h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Thibaut Maudry et Adrien Polycarpe,Église Saint-Éphrem,['Jeudi 22 Février : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
"Haendel, les grands airs d'opéra",Maison de la Radio et de la Musique,['Jeudi 22 Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Orchestre Les Violons de France,Église de la Madeleine,['Vendredi 23 Février : 19h30'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Pascal Mantin,Église Saint-Éphrem,['Vendredi 23 Février : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Vendredi 23 Février : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Antonin Bonnet,Église Saint-Éphrem,['Samedi 24 Février : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Remi Masunaga,Église Saint-Éphrem,['Samedi 24 Février : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Katia Weimann et Christian Hohn,L'Accord Parfait,['Samedi 24 Février : 20h00'],"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)",,,unknown,unknown
Orchestre Paris Classik et Bertrand Cervera,Église Saint-Germain-des-Prés,['Samedi 24 Février : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,['Samedi 24 Février : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Les Matins du National,Maison de la Radio et de la Musique,['Dimanche 25 Février : 11h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Ensemble Hélios et Chœur Hélios éphémère,Église Saint-Louis-en-l'Île,['Dim 25 Février : 15h00'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0
"Élisa Huteau, Thibaut Maudry et Adrien Polycarpe",Église Saint-Éphrem,['Dimanche 25 Février : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Violette Erhart,Comédie Nation,['Dimanche 25 Février : 19h00'],"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)",16.0,22.0,,19.0
Natasha Kadyrova,Église Saint-Éphrem,['Lundi 26 Février : 17h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Piotr Anderszewski,Grande salle Pierre Boulez - Philharmonie de Paris,['Lundi 26 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Airs italiens,Salle des concerts - Cité de la Musique-Philharmonie,['Lundi 26 Février : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
"Allan Clayton, George Humphreys, Christopher Lowrey et Julius Drake",Athénée Théâtre Louis-Jouvet,['Lundi 26 Février : 20h00'],"7 rue Boudreau Square de l'Opéra Louis-Jouvet, Paris, France",Paris 9e,24-31 €,"(2.329072, 48.87183)",24.0,31.0,,27.5
Hungarian Rock,Théâtre des Bouffes du Nord,['Lundi 26 Février : 20h00'],"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)",,,unknown,unknown
Orchestre Lamoureux et Gautier Capuçon,L'Olympia,['Lun 26 Février : 20h30'],"28 boulevard des Capucines, Paris, France",Paris 9e,unknown,"(2.328364, 48.870152)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Mardi 27 Février : 19h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Sunwook Kim et Clara-Jumi Kang,Théâtre des Champs-Élysées,['Mardi 27 Février : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Camerata Salzburg et Janine Jansen,Grande salle Pierre Boulez - Philharmonie de Paris,['Mardi 27 Février : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Classicismes,Salle des concerts - Cité de la Musique-Philharmonie,['Mardi 27 Février : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,['Mardi 27 Février : 20h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,['Mercredi 28 Février : 17h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Franz Schubert / Emilie Mayer,Auditorium Patrick Devedjian - La Seine Musicale,['Mercredi 28 Février : 19h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Ballets russes,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 28 Février : 20h00', ' Jeudi 29 Février : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Quatuor Ébène,Maison de la Radio et de la Musique,['Mercredi 28 Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Maxime Sauze,Église Saint-Éphrem,"['Jeudi 29 Février : 19h00', ' Mardi 5 Mars : 19h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Les Violons de France,Église de la Madeleine,['Jeudi 29 Février : 19h30'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Igor Levit,Théâtre des Champs-Élysées,['Jeudi 29 Février : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,24-61 €,"(2.303279, 48.865672)",24.0,61.0,,42.5
Avant-scènes,Salle des concerts - Cité de la Musique-Philharmonie,['Jeudi 29 Février : 20h00'],"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Holst : Les Planètes,Maison de la Radio et de la Musique,['Jeudi 29 Février : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Vous avez dit classique ?,Théâtre Victor-Hugo,['Jeudi 29 Février : 20h30'],"14 avenue Victor-Hugo, Paris, France",Bagneux,7-31 €,"(2.292025, 48.872636)",7.0,31.0,,19.0
András Schiff,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 1er Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Pascal Mantin,Église Saint-Éphrem,['Vendredi 1er Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Vendredi 1er Mars : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Les Clefs de l'orchestre de Jean-François Zygel,Maison de la Radio et de la Musique,"['Samedi 2 Mars : 14h30', ' 20h00']","116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Con brio,Salle Gaveau,['Samedi 2 Mars : 16h00'],"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)",,,unknown,unknown
Natasha Kadyrova,Église Saint-Éphrem,['Samedi 2 Mars : 16h30'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Francesco Piemontesi,Théâtre des Champs-Élysées,['Samedi 2 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)",26.0,70.0,,48.0
Gewandhausorchester Leipzig et Leonidas Kavakos,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 2 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
God Save the King!,Opéra de Massy,['Samedi 2 Mars : 20h00'],"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)",,,unknown,unknown
André Rieu,Accor Arena,['Samedi 2 Mars : 20h00'],"8 boulevard de Bercy, Paris, France",Paris 12e,unknown,"(2.37777, 48.839223)",,,unknown,unknown
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,['Samedi 2 Mars : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,['Samedi 2 Mars : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Orchestre Hélios et Glen Rouxel,Église Saint-Louis-en-l'Île,['Sam 2 Mars : 20h45'],"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,22-44 €,"(2.357978, 48.85127)",22.0,44.0,,33.0
"Quatuor Prazak, François Dumont et Frédéric Alcaraz",Théâtre des Champs-Élysées,['Dimanche 3 Mars : 11h00'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Gewandhausorchester Leipzig,Grande salle Pierre Boulez - Philharmonie de Paris,['Dimanche 3 Mars : 16h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Umberto Realino,Chapelle Saint-Louis de la Salpêtrière,['Dimanche 3 Mars : 16h00'],"83 boulevard de l'Hôpital, Paris, France",Paris 13e,unknown,"(2.361165, 48.838609)",,,unknown,unknown
Timothée Marcel et Elio di Tanna,Église Saint-Éphrem,['Dimanche 3 Mars : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Oxalis Quartett,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,['Dim 3 Mars : 17h00'],"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)",,,unknown,unknown
« Les Pêcheurs de perles » de Bizet,Théâtre des Champs-Élysées,['Lundi 4 Mars : 19h30'],"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)",,,unknown,unknown
Denis Podalydès raconte les Invalides,Grand Salon du Musée de l'Armée - Musée de l'Armée,['Lundi 4 Mars : 20h00'],"129 rue de Grenelle, Paris, France",Paris 7e,unknown,"(2.312894, 48.85819)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Lundi 4 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Mami Sakato,Maison de la Radio et de la Musique,['Mardi 5 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Elio di Tanna,Église Saint-Éphrem,"['Mercredi 6 Mars : 19h30', ' Mardi 12 Mars : 20h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Seong-Jin Cho,Théâtre des Champs-Élysées,['Mercredi 6 Mars : 20h00'],"15 avenue Montaigne, Paris, France",Paris 8e,26-52 €,"(2.303279, 48.865672)",26.0,52.0,,39.0
Orchestre de Paris et Yunchan Lim,Grande salle Pierre Boulez - Philharmonie de Paris,"['Mercredi 6 Mars : 20h00', ' Jeudi 7 Mars : 20h00']","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Trio Goldberg,ECUJE,['Mercredi 6 Mars : 20h00'],"119 rue La Fayette, Paris, France",Paris 10e,unknown,"(2.352993, 48.878354)",,,unknown,unknown
Les grands chœurs d'opéra,Auditorium Patrick Devedjian - La Seine Musicale,['Mercredi 6 Mars : 20h30'],"1 île Seguin, Paris, France",Boulogne-Billancourt,30-62 €,"(2.365269, 48.891683)",30.0,62.0,,46.0
Roger Muraro et Lambert Wilson,Auditorium Patrick Devedjian - La Seine Musicale,['Jeudi 7 Mars : 20h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
Orchestre Les Violons de France,Église de la Madeleine,['Jeudi 7 Mars : 20h00'],"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre du Conservatoire de Paris et Akiko Suwanai,Grande salle Pierre Boulez - Philharmonie de Paris,['Vendredi 8 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Ravel : Concerto en sol,Maison de la Radio et de la Musique,['Vendredi 8 Mars : 20h00'],"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,['Vendredi 8 Mars : 20h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,['Vendredi 8 Mars : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
Secret d'instrument,Musée de la Musique - Cité de la Musique-Philharmonie,['Samedi 9 Mars : 15h30'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
Orane Donnadieu,Église Saint-Éphrem,['Samedi 9 Mars : 18h00'],"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Vous trouvez ça classique ? La Mer de Debussy,Auditorium Patrick Devedjian - La Seine Musicale,['Samedi 9 Mars : 19h00'],"1 île Seguin, Paris, France",Boulogne-Billancourt,unknown,"(2.365269, 48.891683)",,,unknown,unknown
London Symphony Orchestra et Kirill Gerstein,Grande salle Pierre Boulez - Philharmonie de Paris,['Samedi 9 Mars : 20h00'],"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)",,,unknown,unknown
