,nom,etablissement,Date,adresse,commune,prix
56,Ils se marièrent et eurent beaucoup… d'emmerdes,Théâtre Le Bourvil,<b>Du 1 octobre 2021 au 29 février 2024</b>,37 bis bd de la Chapelle,Paris 10e,13-41 €
57,L'Éducation sentimentale,Théâtre de Poche-Montparnasse,<b>Du 29 août 2023 au 3 mars 2024</b>,37 bis bd de la Chapelle,Paris 10e,24-31 €
58,Eldorado 1528,Théâtre Montparnasse,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,15-35 €
59,La Tendresse,Théâtre des Bouffes du Nord,<b>Du 6 décembre 2023 au 23 décembre 2023</b>,37 bis bd de la Chapelle,Paris 10e,unknown
60,Courageuses,Théâtre Antoine,<b>Du 8 novembre 2023 au 29 décembre 2023</b>,22 rue Beautreillis,Paris 4e,21-50 €
61,Le Discours,Théâtre de la Renaissance,<b>Du 12 novembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,10-54 €
62,Smile,Théâtre de l'Œuvre,<b>Du 14 octobre 2023 au 23 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-36 €
63,Smile,La Scala Paris,<b>Du 27 décembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-39 €
64,Vidéo club,Théâtre Antoine,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,22-119 €
65,Les Fourberies de Scapin,Espace Marais,<b>Du 30 septembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,13-37 €
66,Les Fourberies de Scapin,Comédie-Française - Salle Richelieu,<b>Du 3 février 2024 au 26 juin 2024</b>,22 rue Beautreillis,Paris 4e,unknown
67,L'Argent de la vieille,Le Théâtre Libre,<b>Du 1 février 2024 au 5 mai 2024</b>,22 rue Beautreillis,Paris 4e,26-71 €
68,Une histoire d'amour,Le Splendid,<b>Du 18 octobre 2023 au 21 janvier 2024</b>,22 rue Beautreillis,Paris 4e,23-53 €
69,Passeport,Théâtre de la Renaissance,<b>Du 26 janvier 2024 au 30 juin 2024</b>,22 rue Beautreillis,Paris 4e,20-66 €
70,Ruy Blas,Théâtre Marigny,<b>Du 27 septembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,22-70 €
71,Le Misanthrope,Comédie-Française - Salle Richelieu,<b>Du 22 décembre 2023 au 11 février 2024</b>,22 rue Beautreillis,Paris 4e,unknown
72,Borderline,Théâtre de Passy,<b>Du 7 septembre 2023 au 31 décembre 2023</b>,22 rue Beautreillis,Paris 4e,15-42 €
73,Big Mother,Théâtre des Béliers Parisiens,<b>Du 7 février 2023 au 31 mars 2024</b>,22 rue Beautreillis,Paris 4e,40-44 €
74,Mais n’te promène donc pas toute nue,Espace Marais,<b>Du 16 décembre 2023 au 6 janvier 2024</b>,22 rue Beautreillis,Paris 4e,13-37 €
75,Intra Muros,La Pépinière Théâtre,<b>Du 20 septembre 2022 au 5 mai 2024</b>,31 rue de la Gaité,Paris 14e,22-53 €
76,La Guerre des sexes,Les Enfants du Paradis,<b>Du 29 septembre 2023 au 31 mars 2024</b>,31 rue de la Gaité,Paris 14e,19-40 €
77,Les Crapauds fous,Le Splendid,<b>Du 27 janvier 2023 au 21 janvier 2024</b>,31 rue de la Gaité,Paris 14e,26-62 €
78,Un homme qui boit,Le 13e Art,<b>Du 27 février 2024 au 31 mars 2024</b>,31 rue de la Gaité,Paris 14e,33-63 €
79,Sacré Pan !,Théâtre des Variétés,<b>Du 26 janvier 2024 au 13 avril 2024</b>,31 rue de la Gaité,Paris 14e,22-57 €
80,Bungalow 21,Théâtre de la Madeleine,<b>Du 14 septembre 2023 au 7 janvier 2024</b>,31 rue de la Gaité,Paris 14e,20-88 €
81,Gargantua,Théâtre de Poche-Montparnasse,<b>Du 30 août 2023 au 24 décembre 2023</b>,31 rue de la Gaité,Paris 14e,24 €
82,Ce soir ou jamais,Théâtre Mélo d'Amélie,<b>Du 1 juillet 2023 au 30 avril 2024</b>,31 rue de la Gaité,Paris 14e,11-40 €
83,Sherlock Holmes et le mystère de la vallée de Boscombe,Le Grand Point Virgule,<b>Du 12 juin 2021 au 28 avril 2024</b>,31 rue de la Gaité,Paris 14e,33 €
84,L'Effet miroir,Théâtre de l'Œuvre,<b>Du 12 octobre 2023 au 13 janvier 2024</b>,31 rue de la Gaité,Paris 14e,18-46 €
85,Panique en coulisses,Théâtre des Variétés,<b>Du 27 septembre 2023 au 7 janvier 2024</b>,31 rue de la Gaité,Paris 14e,15-113 €
86,Par ici la sortie,Théâtre Edgar,<b>Du 4 février 2023 au 11 mai 2024</b>,31 rue de la Gaité,Paris 14e,13-39 €
87,Les Poupées persanes,La Pépinière Théâtre,<b>Du 14 septembre 2023 au 6 janvier 2024</b>,31 rue de la Gaité,Paris 14e,33-70 €
88,Les Poupées persanes,La Pépinière Théâtre,<b>Du 16 mai 2024 au 13 juillet 2024</b>,31 rue de la Gaité,Paris 14e,22-53 €
89,Mata Hari ou la justice des hommes,Théâtre Montparnasse,<b>Du 31 août 2023 au 31 décembre 2023</b>,31 rue de la Gaité,Paris 14e,12-40 €
90,La Puce à l'oreille,Comédie-Française - Salle Richelieu,<b>Du 19 septembre 2023 au 1 janvier 2024</b>,place Colette,Paris 1er,unknown
91,"Deux mains, la liberté",Studio Hébertot,<b>Du 14 octobre 2023 au 31 mars 2024</b>,place Colette,Paris 1er,16-22 €
92,Biographie : un jeu,Théâtre Marigny,<b>Du 16 janvier 2024 au 17 mars 2024</b>,place Colette,Paris 1er,20-69 €
93,Contes et légendes,Théâtre de la Porte Saint-Martin,<b>Du 10 janvier 2024 au 10 mars 2024</b>,place Colette,Paris 1er,29-51 €
94,12 hommes en colère,Théâtre Hébertot,<b>Du 22 septembre 2023 au 28 janvier 2024</b>,place Colette,Paris 1er,15-42 €
95,Maîtres anciens : Comédie,Théâtre 14,<b>Du 5 décembre 2023 au 23 décembre 2023</b>,place Colette,Paris 1er,unknown
96,Bienvenue à la Caf,La Comédie du Onzième,<b>Du 26 décembre 2023 au 1 avril 2024</b>,place Colette,Paris 1er,10-20 €
97,La Joconde parle enfin,Théâtre de l'Œuvre,<b>Du 15 février 2024 au 31 mars 2024</b>,place Colette,Paris 1er,9-43 €
98,Le Comte de Monte-Cristo,Théâtre L'Essaïon,<b>Du 24 novembre 2023 au 25 février 2024</b>,place Colette,Paris 1er,11-28 €
99,Coupures,Théâtre des Béliers Parisiens,<b>Du 25 août 2023 au 4 janvier 2024</b>,place Colette,Paris 1er,22-40 €
100,Courgette,Théâtre Tristan-Bernard,<b>Du 25 août 2023 au 6 janvier 2024</b>,place Colette,Paris 1er,33-42 €
101,Fabrice Luchini lit Victor Hugo,Théâtre de l'Atelier,<b>Du 22 octobre 2024 au 31 octobre 2024</b>,place Colette,Paris 1er,unknown
102,L'Échange,Théâtre de Poche-Montparnasse,<b>Du 12 septembre 2023 au 31 décembre 2023</b>,place Colette,Paris 1er,28 €
103,La Folle et Inconvenante Histoire des femmes,Le Funambule Montmartre,<b>Du 23 octobre 2023 au 30 janvier 2024</b>,place Colette,Paris 1er,11-33 €
104,Lucrèce Borgia,Comédie-Française - Salle Richelieu,<b>Du 17 janvier 2024 au 1 avril 2024</b>,place Colette,Paris 1er,unknown
105,Un pour tous,Café de la Gare,<b>Le 31 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,29 €
106,Un pour tous,Les Enfants du Paradis,<b>Du 22 décembre 2023 au 5 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,22-33 €
107,Jacques et Chirac,Théâtre de la Contrescarpe,<b>Du 16 août 2023 au 29 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-37 €
108,Cyrano de Bergerac,Théâtre Ranelagh,<b>Du 26 octobre 2023 au 12 mai 2024</b>,95 bd Saint-Michel,Paris 5e,13-44 €
109,L'Os à moelle,Artistic Théâtre,<b>Du 21 octobre 2023 au 31 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,16-50 €
110,Pour le meilleur et pour le dire,Café de la Gare,<b>Du 6 octobre 2023 au 28 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-29 €
111,L'Incroyable Épopée de François 1er,Théâtre de la Contrescarpe,<b>Du 6 novembre 2023 au 26 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-37 €
112,Geli,La Manufacture des Abbesses,<b>Du 26 novembre 2023 au 16 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,11-29 €
113,La Chute,Théâtre de la Contrescarpe,<b>Du 11 septembre 2023 au 27 février 2024</b>,95 bd Saint-Michel,Paris 5e,12-33 €
114,Le Discours de la servitude volontaire,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 25 novembre 2023 au 23 décembre 2023</b>,95 bd Saint-Michel,Paris 5e,11-24 €
115,Je t'aime à l'italienne et à l'algérienne,La Divine Comédie,<b>Du 30 septembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-42 €
116,An Irish Story (une histoire irlandaise),Théâtre de Belleville,<b>Du 3 décembre 2023 au 30 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,unknown
117,Un chapeau de paille d'Italie,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 17 mars 2024</b>,95 bd Saint-Michel,Paris 5e,16-33 €
118,Freud et la femme de chambre,Théâtre Montparnasse,<b>Du 20 janvier 2024 au 7 avril 2024</b>,95 bd Saint-Michel,Paris 5e,16-60 €
119,Le Tartuffe,Comédie Saint-Michel,<b>Du 9 décembre 2023 au 20 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,18-46 €
120,Sherlock Holmes et l'aventure du diamant bleu,Le Grand Point Virgule,<b>Du 3 décembre 2021 au 27 avril 2024</b>,29 rue de Dunkerque,Paris 10e,21-33 €
121,Je me sens si bien chez vous,Théâtre des Blancs Manteaux,<b>Du 22 décembre 2023 au 29 mars 2024</b>,29 rue de Dunkerque,Paris 10e,20-74 €
122,Together,Théâtre de l'Atelier,<b>Du 16 janvier 2024 au 18 février 2024</b>,29 rue de Dunkerque,Paris 10e,23-45 €
123,Le Père Noël est une ordure,Théâtre du Gymnase,<b>Du 7 octobre 2023 au 6 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,20-26 €
124,L'Enfant de verre,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,29 rue de Dunkerque,Paris 10e,11-24 €
125,J'aime beaucoup ce que vous faites,Théâtre Mélo d'Amélie,<b>Du 1 septembre 2023 au 6 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,11-40 €
126,Le Songe d'une nuit d'été,Théâtre de la Ville - Sarah Bernhardt,<b>Du 16 janvier 2024 au 10 février 2024</b>,29 rue de Dunkerque,Paris 10e,unknown
127,L'Antichambre,Théâtre Ranelagh,<b>Du 8 septembre 2023 au 14 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,13-39 €
128,Le Silence,Comédie-Française - Théâtre du Vieux-Colombier,<b>Du 31 janvier 2024 au 10 mars 2024</b>,29 rue de Dunkerque,Paris 10e,37 €
129,L'Avare,Théâtre Ranelagh,<b>Du 22 octobre 2023 au 27 avril 2024</b>,29 rue de Dunkerque,Paris 10e,13-28 €
130,Les Quatre Sœurs March,Théâtre Ranelagh,<b>Du 19 janvier 2024 au 31 mars 2024</b>,29 rue de Dunkerque,Paris 10e,13-44 €
131,Juste un souvenir,Théâtre de Poche-Montparnasse,<b>Du 23 novembre 2023 au 14 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,24 €
132,Les Desperate Housemen se marient !,Le Grand Point Virgule,<b>Du 15 septembre 2023 au 30 mars 2024</b>,29 rue de Dunkerque,Paris 10e,11-69 €
133,Ma version de l'histoire,Théâtre Michel,<b>Du 10 janvier 2024 au 30 mars 2024</b>,29 rue de Dunkerque,Paris 10e,17-51 €
134,Rose Valland : Sauver un peu de la beauté du monde,Théâtre La Boussole,<b>Du 19 octobre 2023 au 13 janvier 2024</b>,29 rue de Dunkerque,Paris 10e,11-40 €
135,La Cantatrice chauve,Théâtre de la Huchette,<b>Du 16 février 1957 au 13 juillet 2024</b>,95 bd Saint-Michel,Paris 5e,23 €
136,On a essayé de monter Hamlet,Théâtre Edgar,<b>Du 30 septembre 2023 au 11 mai 2024</b>,95 bd Saint-Michel,Paris 5e,13-49 €
137,Camus par Enthoven,Le Théâtre Libre,<b>Du 4 octobre 2023 au 5 février 2024</b>,95 bd Saint-Michel,Paris 5e,32 €
138,Culottées,Comédie-Française - Studio-Théâtre,<b>Du 25 janvier 2024 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,unknown
139,Sentinelles,Théâtre du Rond-Point,<b>Du 30 janvier 2024 au 10 février 2024</b>,95 bd Saint-Michel,Paris 5e,42 €
140,Les Entretiens d'embauche,Théâtre Le Bourvil,<b>Du 15 juin 2023 au 31 mars 2024</b>,95 bd Saint-Michel,Paris 5e,13-41 €
141,Ados,Le Grand Point Virgule,<b>Du 30 septembre 2023 au 26 mai 2024</b>,95 bd Saint-Michel,Paris 5e,15-35 €
142,Les Fous alliés,Théâtre du Marais,<b>Du 25 septembre 2023 au 29 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,16-22 €
143,Le meilleur de l'homme c'est... sa femme,Théâtre Le Passage vers les Étoiles,<b>Du 1 juillet 2023 au 3 mars 2024</b>,95 bd Saint-Michel,Paris 5e,13-55 €
144,Vel d'Hiv,Théâtre Antoine,<b>Du 10 janvier 2024 au 18 février 2024</b>,95 bd Saint-Michel,Paris 5e,21-50 €
145,Le Vertige,Théâtre de la Madeleine,<b>Du 1 février 2024 au 10 mars 2024</b>,95 bd Saint-Michel,Paris 5e,16-48 €
146,Les Contes du chat perché : Le Chien,Comédie-Française - Studio-Théâtre,<b>Du 22 novembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,unknown
147,Ferme bien ta gueule,Théâtre Lepic,<b>Du 20 septembre 2023 au 7 janvier 2024</b>,95 bd Saint-Michel,Paris 5e,24-42 €
148,L'Odeur de la guerre,La Scala Paris,<b>Du 12 octobre 2023 au 17 mars 2024</b>,95 bd Saint-Michel,Paris 5e,20-25 €
149,L'Homme de ses rêves,Comédie Saint-Michel,<b>Du 8 septembre 2023 au 7 mai 2024</b>,95 bd Saint-Michel,Paris 5e,22-46 €
150,Gisèle Halimi : Une farouche liberté,La Scala Paris,<b>Du 27 février 2024 au 31 mars 2024</b>,5 rue des Vignes,Paris 16e,15-46 €
151,Le Quai,La Manufacture des Abbesses,<b>Du 30 novembre 2023 au 14 janvier 2024</b>,5 rue des Vignes,Paris 16e,11-29 €
152,Mondial placard,Théâtre Tristan-Bernard,<b>Du 19 janvier 2024 au 30 avril 2024</b>,5 rue des Vignes,Paris 16e,35-44 €
153,Le Plus Heureux des trois,Théâtre Edgar,<b>Du 22 janvier 2024 au 14 mai 2024</b>,5 rue des Vignes,Paris 16e,23-39 €
154,Cyrano,Le Théâtre Libre,<b>Du 16 janvier 2024 au 17 mars 2024</b>,5 rue des Vignes,Paris 16e,24-31 €
155,Hamlet,Odéon - Théâtre de l'Europe,<b>Du 5 mars 2024 au 14 avril 2024</b>,5 rue des Vignes,Paris 16e,unknown
156,Choisis la vie et tu vivras,Théâtre L'Essaïon,<b>Du 22 décembre 2023 au 2 mars 2024</b>,5 rue des Vignes,Paris 16e,20-28 €
157,Denali,Théâtre Marigny,<b>Du 17 novembre 2023 au 31 décembre 2023</b>,5 rue des Vignes,Paris 16e,25-45 €
158,L'Avare,Espace Marais,<b>Du 23 septembre 2023 au 6 janvier 2024</b>,5 rue des Vignes,Paris 16e,13-37 €
159,Les Délices du chocolat et puis… Venise,Comédie Italienne,<b>Du 14 octobre 2023 au 25 février 2024</b>,5 rue des Vignes,Paris 16e,unknown
160,Le jour où mon cactus a fleuri,Théâtre Le Bourvil,<b>Du 28 octobre 2023 au 31 mars 2024</b>,5 rue des Vignes,Paris 16e,14-40 €
161,"Les parents viennent de Mars, les enfants du Mc Do ! Chez Papa",Théâtre des Blancs Manteaux,<b>Du 6 août 2022 au 30 mars 2024</b>,5 rue des Vignes,Paris 16e,20-74 €
162,Le Nectar des dieux,Le Funambule Montmartre,<b>Du 9 novembre 2023 au 14 janvier 2024</b>,5 rue des Vignes,Paris 16e,11-33 €
163,Je suis la maman du bourreau,La Pépinière Théâtre,<b>Du 18 janvier 2024 au 4 mai 2024</b>,5 rue des Vignes,Paris 16e,23-53 €
164,Le portrait de Dorian Gray,Théâtre Ranelagh,<b>Du 21 octobre 2023 au 13 avril 2024</b>,5 rue des Vignes,Paris 16e,13-28 €
165,100% Marianne,Théâtre du Gymnase,<b>Du 3 décembre 2023 au 21 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,24-35 €
166,"Je ne cours pas, je vole !",Comédie des Champs-Élysées,<b>Du 14 septembre 2023 au 30 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,22-44 €
167,"Amour, sexe et plus si affinités !",La Comédie du Onzième,<b>Du 30 septembre 2023 au 2 février 2024</b>,17 Rue René-Boulanger,Paris 10e,6-20 €
168,The Rosa Parks Story,Alhambra,<b>Le 31 mai 2024</b>,17 Rue René-Boulanger,Paris 10e,24 €
169,Drôle d'Histoire de France,Théâtre Edgar,<b>Du 3 octobre 2023 au 21 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,13-39 €
170,Le Neveu de Rameau,Théâtre Ranelagh,<b>Du 9 septembre 2023 au 14 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,13-44 €
171,Les Chaises,Théâtre du Lucernaire,<b>Du 10 janvier 2024 au 10 mars 2024</b>,17 Rue René-Boulanger,Paris 10e,16-33 €
172,Eurydice,Théâtre de Poche-Montparnasse,<b>Du 4 septembre 2023 au 4 mars 2024</b>,17 Rue René-Boulanger,Paris 10e,24 €
173,Eva Rami : Va aimer !,Théâtre Lepic,<b>Du 26 septembre 2023 au 5 janvier 2024</b>,17 Rue René-Boulanger,Paris 10e,24-35 €
174,Dialaw Project,Théâtre de la Ville - Les Abbesses,<b>Du 19 décembre 2023 au 23 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,unknown
175,Désintégration,Théâtre de l'Épée de Bois - Cartoucherie,<b>Du 7 décembre 2023 au 23 décembre 2023</b>,17 Rue René-Boulanger,Paris 10e,11-24 €
176,Dom Juan,Odéon - Théâtre de l'Europe,<b>Du 23 avril 2024 au 19 mai 2024</b>,17 Rue René-Boulanger,Paris 10e,unknown
177,Mort à crédit,Théâtre de la Contrescarpe,<b>Du 1 octobre 2023 au 28 février 2024</b>,17 Rue René-Boulanger,Paris 10e,12-33 €
