nom,heure,date,etablissement,prix,adresse,commune,geo
Soudain seuls,16:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,19:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,09:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,11:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,13:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,15:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,17:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,19:40,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,09:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,11:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,13:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Bâtiment 5,19:25,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,09:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,11:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,14:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,16:40,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,19:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,18:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,10:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,13:40,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Hunger Games: la Ballade du serpent et de l'oiseau chanteur,17:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,10:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,12:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,14:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le Grand magasin,10:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,09:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,12:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,14:55,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,17:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,09:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,11:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,13:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,15:25,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,17:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,19:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le Garçon et le héron,10:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le Garçon et le héron,13:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le Garçon et le héron,16:15,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le Garçon et le héron,19:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Past Lives – Nos vies d’avant,09:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Past Lives – Nos vies d’avant,12:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Past Lives – Nos vies d’avant,14:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Past Lives – Nos vies d’avant,17:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Past Lives – Nos vies d’avant,19:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,09:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,11:45,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,14:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,16:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une équipe de rêve,19:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Mars Express,09:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Mars Express,11:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Mars Express,13:40,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Mars Express,15:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Mars Express,20:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,09:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,11:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,13:30,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,15:40,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,17:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La fille de son père,20:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,09:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,11:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,13:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,15:35,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,17:50,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Colons,20:05,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Ma France à moi,09:10,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Ma France à moi,11:20,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
