,Unnamed: 0,nom,etablissement,Date,adresse,commune,prix,coordonnees
36,36,Ensemble Kaléid,Église Saint-Séverin,Dimanche 31 Décembre : 20h30,"2 rue des Prêtres-Saint-Séverin, Paris, France",Paris 5e,unknown,"(2.345268, 48.852264)"
37,37,"Euromusic Symphonic Orchestra, Chœur Hugues Reiner et solistes",Église Saint-Sulpice,Dimanche 31 Décembre : 20h30,"Place Saint-Sulpice, Paris, France",Paris 6e,unknown,"(2.33352, 48.851186)"
38,38,Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,"Dim 31 Décembre : 20h30, Lun 1er Janvier : 16h00","19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)"
39,39,Orchestre Classik Ensemble et David Braccini,Tour Eiffel,Lundi 1er Janvier : 16h00,"Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)"
40,40,Orchestre Les Violons de France,Église Saint-Eustache,Lundi 1er Janvier : 16h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,22-33 €,"(2.346648, 48.859801)"
41,41,Quintette Les Virtuoses,Église Saint-Philippe-du-Roule,Lundi 1er Janvier : 16h00,"9 rue de Courcelles, Paris, France",Paris 8e,unknown,"(2.310576, 48.873814)"
42,42,Diane Andersen et invités,L'Accord Parfait,Lundi 1er Janvier : 17h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)"
43,43,Concert du Nouvel An,Église de la Madeleine,Lundi 1er Janvier : 19h00,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)"
44,44,Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Lundi 1er Janvier : 20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)"
45,45,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Lundi 1er Janvier : 21h00,"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)"
46,46,Orchestre Les Violons de France,Église de la Madeleine,Mardi 2 Janvier : 20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)"
47,47,Georges Bériachvili,Théâtre de l'Île Saint-Louis,"Mer 3 Janvier : 18h30, Dim 7 Janvier : 15h00","39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)"
48,48,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"Mercredi 3 Janvier : 19h00, Vendredi 5 Janvier : 19h00, Samedi 6 Janvier : 19h00","1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)"
49,49,Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,Mercredi 3 Janvier : 19h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
50,50,L'Art d'être bête,Théâtre de Poche-Montparnasse,"Mercredi 3 Janvier : 19h00, Jeudi 4 Janvier : 19h00, Dimanche 7 Janvier : 15h00","75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)"
51,51,Philippe Alègre,Église Saint-Julien-le-Pauvre,Jeudi 4 Janvier : 19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)"
52,52,Pascal Mantin,Église Saint-Éphrem,Jeudi 4 Janvier : 19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
53,53,« The Fairy Queen » de Purcell,Salle des concerts - Cité de la Musique-Philharmonie,"Jeudi 4 Janvier : 20h00, Samedi 6 Janvier : 20h00","221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
54,54,Beethoven : Symphonie n°9,Maison de la Radio et de la Musique,"Jeudi 4 Janvier : 20h00, Vendredi 5 Janvier : 20h00","116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)"
55,55,Orchestre Les Violons de France,Église de la Madeleine,Jeudi 4 Janvier : 20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)"
56,56,Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Vendredi 5 Janvier : 18h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
57,57,Robert Millardet,Théâtre de l'Île Saint-Louis,"Ven 5 Janvier : 18h30, Sam 6 Janvier : 18h30","39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)"
58,58,Krzysztof Michalski,Église Saint-Éphrem,Samedi 6 Janvier : 16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
59,59,Westbourne Grammar School,Église de la Madeleine,Samedi 6 Janvier : 16h00,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)"
60,60,Les Alizés,Couvent des Dominicains,Samedi 6 Janvier : 16h00,"222 rue du Faubourg Saint-Honoré, Paris, France",Paris 8e,unknown,"(2.303597, 48.875804)"
61,61,Remi Masunaga,Église Saint-Éphrem,Samedi 6 Janvier : 18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
62,62,Soline Marzac et Cristian Monti,L'Accord Parfait,Samedi 6 Janvier : 20h00,"47 rue Ramey, Paris, France",Paris 18e,unknown,"(2.345913, 48.889739)"
63,63,Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 6 Janvier : 20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)"
64,64,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 6 Janvier : 20h30,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)"
65,65,Trio Wanderer,Théâtre des Champs-Élysées,Dimanche 7 Janvier : 11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)"
66,66,Duo Métis,Cathédrale américaine,Dimanche 7 Janvier : 15h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)"
67,67,Roses dans la nuit,Salle des concerts - Cité de la Musique-Philharmonie,Dimanche 7 Janvier : 16h00,"221 rue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
68,68,Orchestre Paris Classik et Bertrand Cervera,Église Saint-Louis-en-l'Île,Dim 7 Janvier : 16h00,"19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)"
69,69,Robin Stephenson et Jean-Marc Kérisit,Maison de l'Asie du Sud-Est,Dimanche 7 Janvier : 16h00,"59 bis boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.334607, 48.821424)"
70,70,Olivier Périn,Église de la Madeleine,Dimanche 7 Janvier : 16h00,"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)"
71,71,"Jocelyne Lucas, Daniel Dato et Céline Mata",Église Sainte-Marie-des-Batignolles,Dimanche 7 Janvier : 16h00,"77 place du docteur Félix-Lobligeois, Paris, France",Paris 17e,unknown,"(2.317581, 48.886824)"
72,72,Adrien Polycarpe,Église Saint-Éphrem,Dimanche 7 Janvier : 16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
73,73,Dominique Hofer,Église Notre-Dame-de-Compassion,Dimanche 7 Janvier : 16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)"
74,74,Thomas Ospital,Église Saint-Eustache,Dimanche 7 Janvier : 17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)"
75,75,La Caravelle des Arts,Temple protestant du Raincy,Dimanche 7 Janvier : 17h00,"17 allée de l'Ermitage, Paris, France",Le Raincy,unknown,"(2.391501, 48.86994)"
76,76,Nathalie Gaubery et Lorenzo Cipriani,Chapelle de l'Agneau de Dieu,Dimanche 7 Janvier : 17h00,"2 place Henri-Frenay, Paris, France",Paris 12e,unknown,"(2.37749, 48.844629)"
77,77,Sextuor de clarinettes de la Garde républicaine et Guillaume Paire,Église du Val-de-Grâce,Dimanche 7 Janvier : 17h30,"1 place Alphonse-Laveran, Paris, France",Paris 5e,unknown,"(2.341092, 48.840815)"
78,78,Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,Dimanche 7 Janvier : 18h00,"23 avenue George V, Paris, France",Paris 8e,unknown,"(2.300939, 48.867508)"
79,79,Natasha Kadyrova,Église Saint-Éphrem,Lundi 8 Janvier : 19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
80,80,"Les Frivolités Parisiennes, Golda Schultz, Amitai Pati et Pene Pati",Théâtre des Champs-Élysées,Lundi 8 Janvier : 20h00,"15 avenue Montaigne, Paris, France",Paris 8e,33-115 €,"(2.303279, 48.865672)"
81,81,« Atalia » de Gasparini,Château de Versailles,Lundi 8 Janvier : 20h00,"4 boulevard de la Reine, Paris, France",Versailles,71-115 €,"(2.354865, 48.837227)"
82,82,Quatuor Dutilleux,Musée d'Orsay,Mardi 9 Janvier : 12h30,"1 rue de la Légion d'Honneur, Paris, France",Paris 7e,unknown,"(2.32513, 48.860379)"
83,83,Carl Norgate,Théâtre de l'Île Saint-Louis,Mar 9 Janvier : 18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)"
84,84,« Iphigénie en Tauride » de Desmarest et Campra,Théâtre des Champs-Élysées,Mardi 9 Janvier : 19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-89 €,"(2.303279, 48.865672)"
85,85,Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 9 Janvier : 20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
86,86,Hommage à Carlos Roque Alsina,Salle Cortot,Mardi 9 Janvier : 20h00,"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)"
87,87,Jorge Garcia Herranz et Isabelle Dabek,Espace Georges-Bernanos,Mercredi 10 Janvier : 12h30,"4 rue du Havre, Paris, France",Paris 9e,unknown,"(2.32702, 48.874476)"
88,88,Elio di Tanna,Église Saint-Éphrem,Mercredi 10 Janvier : 18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
89,89,« Les Sept péchés capitaux » de Weill,Théâtre des Champs-Élysées,Mercredi 10 Janvier : 19h30,"15 avenue Montaigne, Paris, France",Paris 8e,28-79 €,"(2.303279, 48.865672)"
90,90,Les Surprises,Maison de la Radio et de la Musique,Mercredi 10 Janvier : 20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)"
91,91,Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 10 Janvier : 20h00, Jeudi 11 Janvier : 20h00","221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
92,92,Il Concerto delle donne,Cathédrale Sainte-Croix-des-Arméniens,Mercredi 10 Janvier : 20h00,"13 rue du Perche, Paris, France",Paris 3e,unknown,"(2.360811, 48.86107)"
93,93,Trio Lunae,Institut National des Jeunes Aveugles,Jeudi 11 Janvier : 13h00,"56 boulevard des Invalides, Paris, France",Paris 7e,unknown,"(2.315934, 48.847459)"
94,94,Carl Norgate,Théâtre de l'Île Saint-Louis,Jeu 11 Janvier : 18h30,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)"
95,95,Michaël Levinas,Église luthérienne Saint-Marcel,Jeudi 11 Janvier : 19h00,"24 rue Pierre-Nicole, Paris, France",Paris 5e,unknown,"(2.339557, 48.840985)"
96,96,Adrien Polycarpe,Église Saint-Éphrem,"Jeudi 11 Janvier : 19h30, Mardi 16 Janvier : 20h00","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
97,97,Orchestre de chambre de Paris et Roger Muraro,Théâtre des Champs-Élysées,Jeudi 11 Janvier : 20h00,"15 avenue Montaigne, Paris, France",Paris 8e,unknown,"(2.303279, 48.865672)"
98,98,Orchestre Colonne et Roberto Alagna,Salle Gaveau,Jeudi 11 Janvier : 20h30,"45 rue La Boétie, Paris, France",Paris 8e,unknown,"(2.314195, 48.873528)"
99,99,Fauré : Requiem,Auditorium Michel Laclotte - Musée du Louvre,Vendredi 12 Janvier : 20h00,"Entrée principale : Pyramide (cour Napoléon), Paris, France",Paris 1er,unknown,"(2.445701, 48.83407)"
100,100,Mozart : Symphonie concertante,Maison de la Radio et de la Musique,Vendredi 12 Janvier : 20h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)"
101,101,Poulenc : Concerto pour deux pianos,Opéra de Massy,Vendredi 12 Janvier : 20h00,"1 place de France, Paris, France",Massy,unknown,"(2.387787, 48.831852)"
102,102,Antonin Bonnet,Église Saint-Éphrem,Vendredi 12 Janvier : 20h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
103,103,Orchestre de la Bastille,Église évangélique de Paris-Luxembourg,"Vendredi 12 Janvier : 20h30, Samedi 13 Janvier : 20h30","58 rue Madame, Paris, France",Paris 6e,unknown,"(2.331511, 48.847491)"
104,104,Clémence Guerrand,Salle Cortot,Vendredi 12 Janvier : 20h30,"78 rue Cardinet, Paris, France",Paris 17e,unknown,"(2.309259, 48.884204)"
105,105,"Mathieu Salama, airs pour Farinelli",Église Sainte-Élisabeth-de-Hongrie,Samedi 13 Janvier : 16h00,"195 rue du Temple, Paris, France",Paris 3e,20-28 €,"(2.360839, 48.866005)"
106,106,Axel Lebas,Église Saint-Thomas-d'Aquin,Samedi 13 Janvier : 16h00,"1 place Saint-Thomas-d'Aquin, Paris, France",Paris 7e,unknown,"(2.327577, 48.856099)"
107,107,Natasha Kadyrova,Église Saint-Éphrem,Samedi 13 Janvier : 16h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
108,108,Bruno Helstroffer,La Scala Paris,Samedi 13 Janvier : 19h30,"13 boulevard de Strasbourg, Paris, France",Paris 10e,unknown,"(2.354572, 48.870299)"
109,109,Chicago Symphony Orchestra,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 13 Janvier : 20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
110,110,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 13 Janvier : 20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)"
111,111,Au pays qui te ressemble,Archives nationales,Samedi 13 Janvier : 20h00,"60 rue des Francs-Bourgeois Hôtel de Soubise, Paris, France",Paris 3e,unknown,"(2.357272, 48.859963)"
112,112,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 13 Janvier : 20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)"
113,113,Roger Muraro,Théâtre des Champs-Élysées,Dimanche 14 Janvier : 11h00,"15 avenue Montaigne, Paris, France",Paris 8e,16-28 €,"(2.303279, 48.865672)"
114,114,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Dim 14 Janvier : 15h00,"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)"
115,115,Fauré : Requiem,Église Saint-Roch,Dimanche 14 Janvier : 15h00,"296 rue Saint-Honoré, Paris, France",Paris 1er,unknown,"(2.332239, 48.864954)"
116,116,Quatuor Casals,Grande salle Pierre Boulez - Philharmonie de Paris,Dimanche 14 Janvier : 16h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
117,117,Philhar'intime,Maison de la Radio et de la Musique,Dimanche 14 Janvier : 16h00,"116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)"
118,118,"Mariko Akimoto, Henry Wyld et Armelle Choquard",Église évangélique de Courbevoie,Dimanche 14 Janvier : 16h00,"12/14 rue Kilford, Paris, France",Courbevoie,unknown,"(2.251728, 48.900269)"
119,119,Jae Young Lim et Marie Vallin,Cathédrale Sainte-Geneviève,Dimanche 14 Janvier : 16h00,"28 rue de l'Église, Paris, France",Nanterre,unknown,"(2.286545, 48.844691)"
120,120,Chœur grégorien de Brie-Comte-Robert et Michèle Guyard,Église Saint-Jean-Bosco,Dimanche 14 Janvier : 16h00,"79 rue Alexandre-Dumas, Paris, France",Paris 20e,unknown,"(2.398182, 48.855013)"
121,121,Chœur de chambre Arthémys,Église Saint-Merry,Dimanche 14 Janvier : 16h00,"76 rue de la Verrerie, Paris, France",Paris 4e,unknown,"(2.350691, 48.858888)"
122,122,Lorenzo Cipriani,Église Notre-Dame-de-Compassion,Dimanche 14 Janvier : 16h30,"Place du Général-Koenig, Paris, France",Paris 17e,unknown,"(2.284212, 48.881029)"
123,123,Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Dimanche 14 Janvier : 17h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
124,124,Axel de Marnhac,Église Saint-Eustache,Dimanche 14 Janvier : 17h00,"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.346648, 48.859801)"
125,125,Christian Wachter,Fondation de l'Allemagne – Maison Heinrich Heine - Cité Internationale Universitaire,Dim 14 Janvier : 17h00,"27 boulevard Jourdan, Paris, France",Paris 14e,unknown,"(2.337324, 48.820425)"
126,126,Kim Bernard et Na-Kyong Lee,L'Entrepôt,Dimanche 14 Janvier : 17h30,"7 rue Francis de Pressensé, Paris, France",Paris 14e,unknown,"(2.316516, 48.833947)"
127,127,Quintette Pentagone,Église réformée de Port-Royal,Dimanche 14 Janvier : 18h00,"18 boulevard Arago, Paris, France",Paris 13e,unknown,"(2.349222, 48.836162)"
128,128,Violette Erhart,Comédie Nation,Dimanche 14 Janvier : 19h00,"77 rue de Montreuil, Paris, France",Paris 11e,16-22 €,"(2.431276, 48.85716)"
129,129,Pascal Mantin,Église Saint-Éphrem,Lundi 15 Janvier : 19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)"
130,130,Grandeur et élégance,Grande salle Pierre Boulez - Philharmonie de Paris,Lundi 15 Janvier : 20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
131,131,Quatuor Confluence,Amphithéâtre - Cité de la Musique-Philharmonie,Lundi 15 Janvier : 20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
132,132,Bach : concertos pour violon(s),Chapelle royale - Château de Versailles,Lundi 15 Janvier : 20h00,"Place d'Armes entrée par la Grille d'Honneur, Paris, France",Versailles,unknown,"(2.352558, 48.881934)"
133,133,Vivaldi : Sonates pour violoncelle,Théâtre des Bouffes du Nord,Lundi 15 Janvier : 20h00,"37 bis bd de la Chapelle, Paris, France",Paris 10e,unknown,"(2.358623, 48.884177)"
134,134,Viktoria Postnikova,Théâtre des Champs-Élysées,Mardi 16 Janvier : 20h00,"15 avenue Montaigne, Paris, France",Paris 8e,26-70 €,"(2.303279, 48.865672)"
135,135,Nemanja Radulović,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 16 Janvier : 20h00,"221 avenue Jean-Jaurès, Paris, France",Paris 19e,unknown,"(2.393824, 48.889311)"
