Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
195;La Porte à côté;À la Folie Théâtre;Du 1 décembre 2023 au 2 mars 2024;6 rue de la Folie-Méricourt;Paris 11e;18-24 €;2023-12-01;2024-03-02;18.0;24.0;;21.0;(48.861536, 2.374718)
196;100% Marianne;Théâtre du Gymnase;Du 3 décembre 2023 au 21 janvier 2024;38 boulevard de Bonne-Nouvelle;Paris 10e;24-35 €;2023-12-03;2024-01-21;24.0;35.0;;29.5;(48.870746, 2.348839)
197;C'est pas facile d'être heureux quand on va mal;Théâtre Lepic;Du 17 janvier 2024 au 12 mai 2024;1 avenue Junot;Paris 18e;28-42 €;2024-01-17;2024-05-12;28.0;42.0;;35.0;(48.887636, 2.337265)
198;Quand je serai grande je serai Patrick Swayze;La Scala Paris;Du 3 octobre 2023 au 27 décembre 2023;13 boulevard de Strasbourg;Paris 10e;28 €;2023-10-03;2023-12-27;;;28.0;28.0;(48.870299, 2.354572)
199;Crusoé repart;Studio Hébertot;Du 27 décembre 2023 au 24 janvier 2024;78 bis bd des Batignolles;Paris 17e;22 €;2023-12-27;2024-01-24;;;22.0;22.0;(48.884747, 2.321188)
200;Charles de Foucauld frère universel;Église Saint-Augustin;Du 8 novembre 2023 au 26 juin 2024;Place Saint-Augustin;Paris 8e;unknown;2023-11-08;2024-06-26;;;unknown;unknown;(48.875136, 2.319678)
201;Le Mariage forcé;Théâtre du Rond-Point;Du 20 février 2024 au 1 mars 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;unknown;2024-02-20;2024-03-01;;;unknown;unknown;(48.867784, 2.310549)
202;Les Garçons et Guillaume, à table !;Le Funambule Montmartre;Du 4 mars 2024 au 30 avril 2024;53 rue des Saules;Paris 18e;11-33 €;2024-03-04;2024-04-30;11.0;33.0;;22.0;(48.890751, 2.340416)
203;Pauvre Bitos - Le Dîner de têtes;Théâtre Hébertot;Du 9 février 2024 au 5 mai 2024;78 bis boulevard des Batignolles;Paris 17e;18-50 €;2024-02-09;2024-05-05;18.0;50.0;;34.0;(48.882013, 2.318984)
204;Une belle histoire d'humour;Théâtre du Gymnase;Du 13 octobre 2023 au 6 janvier 2024;38 boulevard de Bonne-Nouvelle;Paris 10e;unknown;2023-10-13;2024-01-06;;;unknown;unknown;(48.870746, 2.348839)
205;Merteuil;Théâtre du Lucernaire;Du 31 janvier 2024 au 31 mars 2024;53 rue Notre-Dame-des-Champs;Paris 6e;16-33 €;2024-01-31;2024-03-31;16.0;33.0;;24.5;(48.844242, 2.330403)
206;Orphelins;Théâtre de Belleville;Du 3 décembre 2023 au 28 décembre 2023;16 passage Piver;Paris 11e;13-30 €;2023-12-03;2023-12-28;13.0;30.0;;21.5;(48.8709, 2.374281)
207;Roméo et Juliette;Théâtre Lepic;Du 27 septembre 2023 au 7 janvier 2024;1 avenue Junot;Paris 18e;24-42 €;2023-09-27;2024-01-07;24.0;42.0;;33.0;(48.887636, 2.337265)
208;40° sous zéro, l'homosexuel ou la difficulté de s’exprimer + Les Quatre Jumelles;Théâtre du Rond-Point;Du 11 janvier 2024 au 27 janvier 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;21-42 €;2024-01-11;2024-01-27;21.0;42.0;;31.5;(48.867784, 2.310549)
209;L'habit ne fait pas le Kir;Théâtre des Deux Ânes;Du 4 octobre 2023 au 28 décembre 2023;100 boulevard de Clichy;Paris 18e;26-33 €;2023-10-04;2023-12-28;26.0;33.0;;29.5;(48.884256, 2.331609)
210;Dans 5 heures;Théâtre de Belleville;Du 7 janvier 2024 au 30 janvier 2024;16 passage Piver;Paris 11e;13-30 €;2024-01-07;2024-01-30;13.0;30.0;;21.5;(48.8709, 2.374281)
211;Ils nous ont oubliés;La Colline - Théâtre national;Du 16 janvier 2024 au 10 février 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-01-16;2024-02-10;11.0;36.0;;23.5;(48.864546, 2.397659)
212;Sacha contre Guitry (tout contre);Théâtre Michel;Du 12 octobre 2023 au 30 décembre 2023;38 rue des Mathurins;Paris 8e;13-39 €;2023-10-12;2023-12-30;13.0;39.0;;26.0;(48.873287, 2.32546)
213;Ce qu'il faudra laisser aux anges;Théâtre Lepic;Du 15 octobre 2023 au 12 mai 2024;1 avenue Junot;Paris 18e;28-42 €;2023-10-15;2024-05-12;28.0;42.0;;35.0;(48.887636, 2.337265)
214;Le Temps d'une vie;Comédie Saint-Michel;Du 6 décembre 2023 au 21 avril 2024;95 bd Saint-Michel;Paris 5e;22-29 €;2023-12-06;2024-04-21;22.0;29.0;;25.5;(48.844567, 2.339549)
215;Il est interdit de vieillir;Studio Hébertot;Du 21 novembre 2023 au 31 janvier 2024;78 bis bd des Batignolles;Paris 17e;22 €;2023-11-21;2024-01-31;;;22.0;22.0;(48.884747, 2.321188)
216;Bernard Werber : Voyage intérieur;Théâtre de la Gaîté-Montparnasse;Du 18 septembre 2023 au 8 janvier 2024;26 rue de la Gaîté;Paris 14e;24-32 €;2023-09-18;2024-01-08;24.0;32.0;;28.0;(48.839319, 2.32317)
