Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;date début;date fin;prix min;prix max;prix unique;prix moyen;Coordonnees
381;Nos âmes faibles;La Manufacture des Abbesses;Du 22 janvier 2024 au 14 février 2024;7 rue Véron;Paris 18e;11-29 €;2024-01-22;2024-02-14;11.0;29.0;;20.0;(48.884393, 2.336711)
382;Le Crédit;Théâtre L'Essaïon;Du 11 septembre 2023 au 22 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2023-09-11;2024-01-22;13.0;28.0;;20.5;(48.859764, 2.353086)
383;Michaël Louchart : Un père à aimer;La Divine Comédie;Du 19 septembre 2023 au 24 avril 2024;2 rue Saulnier;Paris 9e;15-28 €;2023-09-19;2024-04-24;15.0;28.0;;21.5;(48.874212, 2.34436)
384;Pour un oui ou pour un non;Théâtre du Nord-Ouest;Du 16 octobre 2023 au 29 décembre 2023;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-10-16;2023-12-29;;;unknown;unknown;(48.872387, 2.343063)
385;Un escalier pour la paix;Théâtre Darius Milhaud;Du 6 décembre 2023 au 21 février 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-12-06;2024-02-21;13.0;15.0;;14.0;(48.885938, 2.393208)
386;Le Frigo;Théâtre Darius Milhaud;Du 2 novembre 2023 au 28 décembre 2023;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-11-02;2023-12-28;13.0;15.0;;14.0;(48.885938, 2.393208)
387;Le Grand Jour;Théâtre de Belleville;Du 4 février 2024 au 26 février 2024;16 passage Piver;Paris 11e;13-30 €;2024-02-04;2024-02-26;13.0;30.0;;21.5;(48.8709, 2.374281)
388;4,7% de liberté;Théâtre de la Ville - Les Abbesses;Du 27 février 2024 au 2 mars 2024;31 rue des Abbesses;Paris 18e;unknown;2024-02-27;2024-03-02;;;unknown;unknown;(48.884815, 2.337381)
389;Entre-temps;Théâtre Pixel;unknown;18 rue Championnet;Paris 18e;unknown;;;;;unknown;unknown;(48.89538, 2.351094)
390;Parpaing;Théâtre 13 - Glacière;Du 24 janvier 2024 au 3 février 2024;103 A boulevard Auguste-Blanqui;Paris 13e;28 €;2024-01-24;2024-02-03;;;28.0;28.0;(48.828836, 2.344855)
391;Nora, Nora, Nora ! De l’influence des épouses sur les chefs-d’œuvre;Théâtre de la Tempête - Cartoucherie;Du 1 mars 2024 au 31 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-03-01;2024-03-31;11.0;26.0;;18.5;(48.835062, 2.450645)
392;Les Vagues;Théâtre de la Tempête - Cartoucherie;Du 16 mai 2024 au 26 mai 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-05-16;2024-05-26;11.0;26.0;;18.5;(48.835062, 2.450645)
393;Le Tissu des rêves;Théâtre Darius Milhaud;Du 13 janvier 2024 au 16 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-13;2024-03-16;13.0;20.0;;16.5;(48.885938, 2.393208)
394;Juste un sourire;Théâtre Pixel;Du 7 novembre 2023 au 26 décembre 2023;18 rue Championnet;Paris 18e;unknown;2023-11-07;2023-12-26;;;unknown;unknown;(48.89538, 2.351094)
395;Thérapie;Théâtre Pixel;Du 18 septembre 2023 au 17 juin 2024;18 rue Championnet;Paris 18e;unknown;2023-09-18;2024-06-17;;;unknown;unknown;(48.89538, 2.351094)
396;Les Doubles Vies de Sarah Bernhardt;Théâtre Darius Milhaud;Du 10 décembre 2023 au 31 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-12-10;2024-03-31;13.0;15.0;;14.0;(48.885938, 2.393208)
397;Rhinocéros, la nouvelle;Théâtre L'Essaïon;Du 18 avril 2024 au 13 juin 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-04-18;2024-06-13;16.0;28.0;;22.0;(48.859764, 2.353086)
398;La Mort d'Empédocle;Théâtre de l'Épée de Bois - Cartoucherie;Du 6 février 2024 au 18 février 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-06;2024-02-18;11.0;24.0;;17.5;(48.835062, 2.450645)
399;La Fontaine à travers l'Histoire;Comédie Saint-Michel;Du 1 juillet 2023 au 4 janvier 2024;95 bd Saint-Michel;Paris 5e;22-29 €;2023-07-01;2024-01-04;22.0;29.0;;25.5;(48.844567, 2.339549)
400;Histoires d'amour improvisées;Comédie des Trois Bornes;Du 7 janvier 2024 au 21 janvier 2024;32 rue des Trois-Bornes;Paris 11e;15 €;2024-01-07;2024-01-21;;;15.0;15.0;(48.867514, 2.375472)
401;La Conférence de Charles Pépin : Vivre avec son passé;Théâtre de la Porte Saint-Martin;Le 5 mars 2024;18 boulevard Saint-Martin;Paris 10e;11-46 €;2024-03-05;2024-03-05;11.0;46.0;;28.5;(48.868965, 2.356716)
402;Les Petits Chevaux, une histoire d'enfants des Lebensborn;Théâtre de la Reine Blanche;Du 10 février 2024 au 9 mars 2024;2 bis passage Ruelle;Paris 18e;11-28 €;2024-02-10;2024-03-09;11.0;28.0;;19.5;(48.886741, 2.358999)
403;Paroles de parents;Théâtre de la Huchette;Du 15 janvier 2024 au 12 février 2024;23 rue de la Huchette;Paris 5e;23 €;2024-01-15;2024-02-12;;;23.0;23.0;(48.853025, 2.345354)
404;Fantômes;Théâtre de la Ville - Sarah Bernhardt;Du 27 février 2024 au 9 mars 2024;2 place du Châtelet;Paris 4e;unknown;2024-02-27;2024-03-09;;;unknown;unknown;(48.857346, 2.34779)
405;Derrière les lignes ennemies;Théâtre du Rond-Point;Du 23 janvier 2024 au 10 février 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;unknown;2024-01-23;2024-02-10;;;unknown;unknown;(48.867784, 2.310549)
406;En travers de sa gorge;Théâtre du Rond-Point;Du 6 mars 2024 au 16 mars 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;42 €;2024-03-06;2024-03-16;;;42.0;42.0;(48.867784, 2.310549)
407;Nom;Théâtre du Rond-Point;Du 19 mars 2024 au 6 avril 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-03-19;2024-04-06;;;34.0;34.0;(48.867784, 2.310549)
408;RAPT;Le Centquatre (104);Du 24 janvier 2024 au 27 janvier 2024;5 rue Curial;Paris 19e;15-22 €;2024-01-24;2024-01-27;15.0;22.0;;18.5;(48.889983, 2.371506)
409;Pères;Le Centquatre (104);Du 25 janvier 2024 au 27 janvier 2024;5 rue Curial;Paris 19e;unknown;2024-01-25;2024-01-27;;;unknown;unknown;(48.889983, 2.371506)
410;Huit rois (nos présidents) - Intégrale;Théâtre 13 - Glacière;Du 15 juin 2024 au 29 juin 2024;103 A boulevard Auguste-Blanqui;Paris 13e;50 €;2024-06-15;2024-06-29;;;50.0;50.0;(48.828836, 2.344855)
411;Inconnu à cette adresse;Théâtre Douze;Du 25 avril 2024 au 5 mai 2024;6 avenue Maurice Ravel;Paris 12e;16 €;2024-04-25;2024-05-05;;;16.0;16.0;(48.841806, 2.411747)
412;Agathe Charnet - Éco-féminismes : repenser nos liens aux vivant·e·s;L'Étoile du Nord;Le 25 mai 2024;16 rue Georgette-Agutte;Paris 18e;6 €;2024-05-25;2024-05-25;;;6.0;6.0;(48.895559, 2.332942)
413;Le Portrait de Dorian Gray;Laurette Théâtre;Du 13 janvier 2024 au 30 mars 2024;36 rue Bichat;Paris 10e;14-20 €;2024-01-13;2024-03-30;14.0;20.0;;17.0;(48.871529, 2.368148)
414;19.5 :  Le dix-neuvième en cinq actes;Théâtre L'Essaïon;Du 15 novembre 2023 au 28 février 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2023-11-15;2024-02-28;13.0;28.0;;20.5;(48.859764, 2.353086)
415;Un mois à la campagne;Théâtre du Nord-Ouest;À partir du  2 septembre 2021.;13 rue du faubourg Montmartre;Paris 9e;unknown;;;;;unknown;unknown;(48.872387, 2.343063)
416;Éventails et Médisances;Théâtre Pixel;Du 15 décembre 2023 au 21 janvier 2024;18 rue Championnet;Paris 18e;unknown;2023-12-15;2024-01-21;;;unknown;unknown;(48.89538, 2.351094)
417;La Véritable Histoire de Dracula;Théâtre de la Tour Eiffel;Du 4 février 2024 au 18 février 2024;4 square Rapp;Paris 7e;13-42 €;2024-02-04;2024-02-18;13.0;42.0;;27.5;(48.858644, 2.301085)
418;Allez, roule !;Théo Théâtre;Du 2 février 2024 au 26 avril 2024;20 rue Théodore-Deck;Paris 15e;18 €;2024-02-02;2024-04-26;;;18.0;18.0;(48.837203, 2.288829)
419;Terrasses;La Colline - Théâtre national;Du 15 mai 2024 au 9 juin 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-05-15;2024-06-09;11.0;36.0;;23.5;(48.864546, 2.397659)
420;Le Tigre bleu de l'Euphrate;La Colline - Théâtre national;Du 24 mai 2024 au 16 juin 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-05-24;2024-06-16;11.0;36.0;;23.5;(48.864546, 2.397659)
421;Jean Zay, l'homme complet;Théâtre L'Essaïon;Du 16 janvier 2024 au 26 mars 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2024-01-16;2024-03-26;13.0;28.0;;20.5;(48.859764, 2.353086)
422;Tristesse et joie dans la vie des girafes;Théâtre du Rond-Point;Du 23 février 2024 au 3 mars 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-02-23;2024-03-03;;;34.0;34.0;(48.867784, 2.310549)
423;Moi, Kadhafi;La Scala Paris;Du 9 janvier 2024 au 21 janvier 2024;13 boulevard de Strasbourg;Paris 10e;17-25 €;2024-01-09;2024-01-21;17.0;25.0;;21.0;(48.870299, 2.354572)
424;Le Moment psychologique;La Scala Paris;Du 1 février 2024 au 11 février 2024;13 boulevard de Strasbourg;Paris 10e;15-46 €;2024-02-01;2024-02-11;15.0;46.0;;30.5;(48.870299, 2.354572)
425;Barbara (par Barbara);Le Centquatre (104);Du 7 février 2024 au 9 février 2024;5 rue Curial;Paris 19e;13-20 €;2024-02-07;2024-02-09;13.0;20.0;;16.5;(48.889983, 2.371506)
426;La Tour de la défense;Théâtre de l'Épée de Bois - Cartoucherie;Du 25 avril 2024 au 12 mai 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-04-25;2024-05-12;11.0;24.0;;17.5;(48.835062, 2.450645)
427;Corde. raide;Théâtre de la Tempête - Cartoucherie;Du 19 avril 2024 au 5 mai 2024;Route du Champ de Manœuvre;Paris 12e;11-26 €;2024-04-19;2024-05-05;11.0;26.0;;18.5;(48.835062, 2.450645)
428;Farben;Le Mouffetard - Théâtre des arts de la marionnette;Du 17 janvier 2024 au 27 janvier 2024;73 rue Mouffetard;Paris 5e;14-22 €;2024-01-17;2024-01-27;14.0;22.0;;18.0;(48.842211, 2.349834)
429;Jamais deux sans douze;Théâtre Douze;Du 7 mars 2024 au 10 mars 2024;6 avenue Maurice Ravel;Paris 12e;16 €;2024-03-07;2024-03-10;;;16.0;16.0;(48.841806, 2.411747)
430;Le Prince à la tête de coton;La Flèche;Du 13 janvier 2024 au 16 mars 2024;77 rue de Charonne;Paris 11e;16-22 €;2024-01-13;2024-03-16;16.0;22.0;;19.0;(48.853885, 2.381496)
431;À la recherche des canards perdus - Cartographie 1;Théâtre de l'Atelier;Du 23 avril 2024 au 18 juin 2024;1 place Charles-Dullin;Paris 18e;16-35 €;2024-04-23;2024-06-18;16.0;35.0;;25.5;(48.88338, 2.342473)
432;Eva Peron;Théâtre Darius Milhaud;Du 11 novembre 2023 au 27 janvier 2024;80 allée Darius-Milhaud;Paris 19e;13-15 €;2023-11-11;2024-01-27;13.0;15.0;;14.0;(48.885938, 2.393208)
433;En scène monsieur Guitry;Théâtre de l'Épée de Bois - Cartoucherie;Du 1 février 2024 au 11 février 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-01;2024-02-11;11.0;24.0;;17.5;(48.835062, 2.450645)
434;Les Possédés d'Illfurth;Théâtre du Rond-Point;Du 14 mai 2024 au 1 juin 2024;2 bis avenue Franklin-Roosevelt;Paris 8e;34 €;2024-05-14;2024-06-01;;;34.0;34.0;(48.867784, 2.310549)
435;La Loi du marcheur;Théâtre de la Bastille;Du 3 mai 2024 au 29 mai 2024;76 rue de la Roquette;Paris 11e;28 €;2024-05-03;2024-05-29;;;28.0;28.0;(48.855861, 2.375555)
436;Cavalières;La Colline - Théâtre national;Du 5 mars 2024 au 31 mars 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-03-05;2024-03-31;11.0;36.0;;23.5;(48.864546, 2.397659)
437;Painkiller;La Colline - Théâtre national;Du 6 mars 2024 au 30 mars 2024;15 rue Malte-Brun;Paris 20e;11-36 €;2024-03-06;2024-03-30;11.0;36.0;;23.5;(48.864546, 2.397659)
438;J'ai si peu parlé ma propre langue;Théâtre de la Reine Blanche;Du 11 janvier 2024 au 3 février 2024;2 bis passage Ruelle;Paris 18e;11-28 €;2024-01-11;2024-02-03;11.0;28.0;;19.5;(48.886741, 2.358999)
439;La Fête du slip;Théâtre de la Reine Blanche;Du 8 mai 2024 au 14 juin 2024;2 bis passage Ruelle;Paris 18e;11-22 €;2024-05-08;2024-06-14;11.0;22.0;;16.5;(48.886741, 2.358999)
440;Voyage d'un Arlequin contemporain;Théâtre L'Essaïon;Du 13 janvier 2024 au 6 avril 2024;6 rue Pierre-au-Lard;Paris 4e;13-22 €;2024-01-13;2024-04-06;13.0;22.0;;17.5;(48.859764, 2.353086)
441;Rossignol à la langue pourrie;Théâtre L'Essaïon;Du 28 janvier 2024 au 18 mars 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-01-28;2024-03-18;16.0;28.0;;22.0;(48.859764, 2.353086)
442;Julia;Théâtre Silvia Monfort;Du 3 avril 2024 au 6 avril 2024;106 rue Brancion;Paris 15e;11-29 €;2024-04-03;2024-04-06;11.0;29.0;;20.0;(48.830303, 2.301819)
443;Qui a besoin du ciel;Le Centquatre (104);Du 25 janvier 2024 au 10 février 2024;5 rue Curial;Paris 19e;15-22 €;2024-01-25;2024-02-10;15.0;22.0;;18.5;(48.889983, 2.371506)
444;Item;Théâtre de l'Aquarium - Cartoucherie;Du 15 mars 2024 au 24 mars 2024;route du Champ de Manœuvre (navette cartoucherie gratuite);Paris 12e;13-24 €;2024-03-15;2024-03-24;13.0;24.0;;18.5;(48.835062, 2.450645)
445;Dreyfus;Théâtre de l'Épée de Bois - Cartoucherie;Du 27 janvier 2024 au 3 mars 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-01-27;2024-03-03;11.0;24.0;;17.5;(48.835062, 2.450645)
446;Les Consolantes;Théâtre 13 - Bibliothèque;Du 30 janvier 2024 au 9 février 2024;30 rue du Chevaleret;Paris 13e;28 €;2024-01-30;2024-02-09;;;28.0;28.0;(48.827622, 2.377256)
447;Les Consolantes;L'Étoile du Nord;Du 24 janvier 2024 au 26 janvier 2024;16 rue Georgette-Agutte;Paris 18e;11 €;2024-01-24;2024-01-26;;;11.0;11.0;(48.895559, 2.332942)
448;Nous étions la forêt;L'Étoile du Nord;Le 27 janvier 2024;16 rue Georgette-Agutte;Paris 18e;6 €;2024-01-27;2024-01-27;;;6.0;6.0;(48.895559, 2.332942)
449;Les Forteresses;Théâtre de la Bastille;Du 5 février 2024 au 11 février 2024;76 rue de la Roquette;Paris 11e;28 €;2024-02-05;2024-02-11;;;28.0;28.0;(48.855861, 2.375555)
450;Le Cri;Théâtre Darius Milhaud;Du 9 janvier 2024 au 26 mars 2024;80 allée Darius-Milhaud;Paris 19e;13-20 €;2024-01-09;2024-03-26;13.0;20.0;;16.5;(48.885938, 2.393208)
451;Armande Sanseverino / Gaël Germain : En pièce jointe;Les Plateaux sauvages;Du 13 mai 2024 au 17 mai 2024;5 rue des Plâtrières;Paris 20e;6-33 €;2024-05-13;2024-05-17;6.0;33.0;;19.5;(48.867853, 2.389335)
452;L'Homme et son pantalon;Théâtre de l'Épée de Bois - Cartoucherie;Du 11 avril 2024 au 21 avril 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-04-11;2024-04-21;11.0;24.0;;17.5;(48.835062, 2.450645)
453;Le Journal d'un fou;Théâtre L'Essaïon;Du 19 avril 2024 au 27 juillet 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-04-19;2024-07-27;16.0;28.0;;22.0;(48.859764, 2.353086)
454;Le Premier Sexe ou la grosse arnaque de la virilité;Théâtre de la Reine Blanche;Du 2 juin 2024 au 9 juin 2024;2 bis passage Ruelle;Paris 18e;11-22 €;2024-06-02;2024-06-09;11.0;22.0;;16.5;(48.886741, 2.358999)
455;L'Art du rire;La Scala Paris;Du 11 janvier 2024 au 12 mars 2024;13 boulevard de Strasbourg;Paris 10e;15-36 €;2024-01-11;2024-03-12;15.0;36.0;;25.5;(48.870299, 2.354572)
456;Queen Kong;Théâtre La Croisée des Chemins;Du 9 novembre 2023 au 29 décembre 2023;120 bis rue Haxo;Paris 19e;13-22 €;2023-11-09;2023-12-29;13.0;22.0;;17.5;(48.876727, 2.402335)
457;Sur les ruines de Babel L;La Divine Comédie;Du 8 janvier 2024 au 12 janvier 2024;2 rue Saulnier;Paris 9e;18-23 €;2024-01-08;2024-01-12;18.0;23.0;;20.5;(48.874212, 2.34436)
458;Looking for Jaurès;Théâtre L'Essaïon;Du 23 janvier 2024 au 2 avril 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2024-01-23;2024-04-02;16.0;28.0;;22.0;(48.859764, 2.353086)
459;Quand je serai grande... tu seras une femme, ma fille;Théâtre L'Essaïon;Le 27 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;11-28 €;2024-01-27;2024-01-27;11.0;28.0;;19.5;(48.859764, 2.353086)
460;Dispak Dispac'h;Théâtre Silvia Monfort;Du 21 mars 2024 au 31 mars 2024;106 rue Brancion;Paris 15e;unknown;2024-03-21;2024-03-31;;;unknown;unknown;(48.830303, 2.301819)
461;Abysses;Le Centquatre (104);Du 18 janvier 2024 au 20 janvier 2024;5 rue Curial;Paris 19e;unknown;2024-01-18;2024-01-20;;;unknown;unknown;(48.889983, 2.371506)
462;I am the same, yet so different;Le Centquatre (104);Du 19 janvier 2024 au 20 janvier 2024;5 rue Curial;Paris 19e;unknown;2024-01-19;2024-01-20;;;unknown;unknown;(48.889983, 2.371506)
463;Le Cimetière des voitures;Théâtre de l'Épée de Bois - Cartoucherie;Du 4 avril 2024 au 21 avril 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-04-04;2024-04-21;11.0;24.0;;17.5;(48.835062, 2.450645)
464;Abysses;Théâtre 13 - Bibliothèque;Du 28 février 2024 au 9 mars 2024;30 rue du Chevaleret;Paris 13e;28 €;2024-02-28;2024-03-09;;;28.0;28.0;(48.827622, 2.377256)
465;Les Enchantements;Théâtre Ouvert;Du 15 janvier 2024 au 27 janvier 2024;159 avenue Gambetta;Paris 20e;9-15 €;2024-01-15;2024-01-27;9.0;15.0;;12.0;(48.870475, 2.403139)
466;Heroe(s) 2;Théâtre Dunois;Du 9 janvier 2024 au 16 janvier 2024;7 rue Louise-Weiss;Paris 13e;11-18 €;2024-01-09;2024-01-16;11.0;18.0;;14.5;(48.83318, 2.370542)
467;Dr Jekyll and Mr Hyde;Alhambra;Le 14 mai 2024;21 rue Yves Toudic;Paris 10e;24 €;2024-05-14;2024-05-14;;;24.0;24.0;(48.870642, 2.363078)
468;Michetonneuse;Apollo Théâtre;Du 18 janvier 2024 au 31 mars 2024;18 rue du Faubourg-du-Temple;Paris 11e;24-29 €;2024-01-18;2024-03-31;24.0;29.0;;26.5;(48.868315, 2.3661)
469;Futur;Les Plateaux sauvages;Du 29 janvier 2024 au 10 février 2024;5 rue des Plâtrières;Paris 20e;6-33 €;2024-01-29;2024-02-10;6.0;33.0;;19.5;(48.867853, 2.389335)
470;Un soir avec... Charles Berling;Théâtre des Mathurins;Le 29 janvier 2024;36 rue des Mathurins;Paris 8e;13-29 €;2024-01-29;2024-01-29;13.0;29.0;;21.0;(48.873274, 2.325636)
471;Confidences;Théâtre du Nord-Ouest;Du 23 juin 2023 au 29 décembre 2023;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-06-23;2023-12-29;;;unknown;unknown;(48.872387, 2.343063)
472;Et tu n'es pas revenu;Théâtre du Nord-Ouest;À partir du  27 mars 2023.;13 rue du faubourg Montmartre;Paris 9e;unknown;;;;;unknown;unknown;(48.872387, 2.343063)
473;Le Pain de ménage;Théâtre du Nord-Ouest;Du 12 mai 2023 au 2 janvier 2024;13 rue du faubourg Montmartre;Paris 9e;unknown;2023-05-12;2024-01-02;;;unknown;unknown;(48.872387, 2.343063)
474;Adieu Marquise;Théâtre du Nord-Ouest;À partir du  29 décembre 2022.;13 rue du faubourg Montmartre;Paris 9e;unknown;;;;;unknown;unknown;(48.872387, 2.343063)
475;Méchant.e;Théâtre du Gouvernail;Du 22 novembre 2023 au 30 janvier 2024;5 passage de Thionville;Paris 19e;unknown;2023-11-22;2024-01-30;;;unknown;unknown;(48.888015, 2.382008)
476;Ay Carmela !;Théo Théâtre;Du 28 janvier 2024 au 28 avril 2024;20 rue Théodore-Deck;Paris 15e;18 €;2024-01-28;2024-04-28;;;18.0;18.0;(48.837203, 2.288829)
477;L'Ingénu;Théâtre L'Essaïon;Du 1 mars 2024 au 31 mars 2024;6 rue Pierre-au-Lard;Paris 4e;13-28 €;2024-03-01;2024-03-31;13.0;28.0;;20.5;(48.859764, 2.353086)
478;Kids;La Scala Paris;Du 1 mars 2024 au 6 avril 2024;13 boulevard de Strasbourg;Paris 10e;20-25 €;2024-03-01;2024-04-06;20.0;25.0;;22.5;(48.870299, 2.354572)
479;Ana, une jeune femme au camp;Comédie Saint-Michel;Du 18 novembre 2023 au 7 janvier 2024;95 bd Saint-Michel;Paris 5e;22-35 €;2023-11-18;2024-01-07;22.0;35.0;;28.5;(48.844567, 2.339549)
480;Le Papier peint jaune;Théâtre de la Reine Blanche;Du 13 mars 2024 au 14 avril 2024;2 bis passage Ruelle;Paris 18e;11-22 €;2024-03-13;2024-04-14;11.0;22.0;;16.5;(48.886741, 2.358999)
481;L'Addition;Théâtre Silvia Monfort;Du 30 janvier 2024 au 3 février 2024;106 rue Brancion;Paris 15e;11-29 €;2024-01-30;2024-02-03;11.0;29.0;;20.0;(48.830303, 2.301819)
482;Céline;Le Centquatre (104);Du 18 janvier 2024 au 20 janvier 2024;5 rue Curial;Paris 19e;11-16 €;2024-01-18;2024-01-20;11.0;16.0;;13.5;(48.889983, 2.371506)
483;Portrait d'une femme;Théâtre de l'Épée de Bois - Cartoucherie;Du 8 février 2024 au 18 février 2024;Route du Champ de Manœuvre;Paris 12e;11-24 €;2024-02-08;2024-02-18;11.0;24.0;;17.5;(48.835062, 2.450645)
484;Du pain et des jeux;Théâtre 13 - Bibliothèque;Du 23 avril 2024 au 4 mai 2024;30 rue du Chevaleret;Paris 13e;28 €;2024-04-23;2024-05-04;;;28.0;28.0;(48.827622, 2.377256)
485;Big bang circus;La Manufacture des Abbesses;Du 17 janvier 2024 au 16 mars 2024;7 rue Véron;Paris 18e;11-29 €;2024-01-17;2024-03-16;11.0;29.0;;20.0;(48.884393, 2.336711)
486;Alexandra et Dominique Duvivier - Signatures;Le Double Fond;Du 22 mars 2024 au 19 juillet 2024;1 place du Marché-Sainte-Catherine;Paris 4e;unknown;2024-03-22;2024-07-19;;;unknown;unknown;(48.855376, 2.362577)
487;Sous influence;La Flèche;Du 12 janvier 2024 au 15 mars 2024;77 rue de Charonne;Paris 11e;16-22 €;2024-01-12;2024-03-15;16.0;22.0;;19.0;(48.853885, 2.381496)
488;Le Mariage de Figaro;Théâtre Montmartre Galabru;Du 21 janvier 2024 au 24 mars 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2024-01-21;2024-03-24;15.0;22.0;;18.5;(48.887245, 2.334537)
489;Pôvre vieille démocrasseuse;Théâtre L'Essaïon;Du 8 octobre 2023 au 14 janvier 2024;6 rue Pierre-au-Lard;Paris 4e;16-28 €;2023-10-08;2024-01-14;16.0;28.0;;22.0;(48.859764, 2.353086)
490;L'Aquoiboniste;Le Théâtre Libre;Du 1 février 2024 au 24 mars 2024;4 boulevard de Strasbourg;Paris 10e;25 €;2024-02-01;2024-03-24;;;25.0;25.0;(48.869821, 2.354771)
491;Don Juan;Théâtre Montmartre Galabru;Du 19 janvier 2024 au 5 avril 2024;4 rue de l'Armée d'Orient;Paris 18e;15-22 €;2024-01-19;2024-04-05;15.0;22.0;;18.5;(48.887245, 2.334537)
492;Marcus et les siens;Théâtre de la Reine Blanche;Du 7 février 2024 au 10 mars 2024;2 bis passage Ruelle;Paris 18e;11-28 €;2024-02-07;2024-03-10;11.0;28.0;;19.5;(48.886741, 2.358999)
493;Holyshit !;Théâtre de la Reine Blanche;Du 13 février 2024 au 23 mars 2024;2 bis passage Ruelle;Paris 18e;11-22 €;2024-02-13;2024-03-23;11.0;22.0;;16.5;(48.886741, 2.358999)
494;Ce qu'il faut dire;Théâtre de la Reine Blanche;Du 21 février 2024 au 10 mars 2024;2 bis passage Ruelle;Paris 18e;11-22 €;2024-02-21;2024-03-10;11.0;22.0;;16.5;(48.886741, 2.358999)
495;Flammes de science - Prix No'Bell;Théâtre de la Reine Blanche;Du 27 mars 2024 au 25 avril 2024;2 bis passage Ruelle;Paris 18e;11-28 €;2024-03-27;2024-04-25;11.0;28.0;;19.5;(48.886741, 2.358999)
496;Ceux qui se sont évaporés;Théâtre de Belleville;Du 4 février 2024 au 27 février 2024;16 passage Piver;Paris 11e;13-30 €;2024-02-04;2024-02-27;13.0;30.0;;21.5;(48.8709, 2.374281)
497;LIVE;Théâtre de la Ville - Sarah Bernhardt;Du 17 février 2024 au 23 février 2024;2 place du Châtelet;Paris 4e;unknown;2024-02-17;2024-02-23;;;unknown;unknown;(48.857346, 2.34779)
498;Calek;La Scala Paris;Du 27 janvier 2024 au 4 février 2024;13 boulevard de Strasbourg;Paris 10e;19-28 €;2024-01-27;2024-02-04;19.0;28.0;;23.5;(48.870299, 2.354572)
499;Poings;Théâtre Silvia Monfort;Du 26 avril 2024 au 4 mai 2024;106 rue Brancion;Paris 15e;11-29 €;2024-04-26;2024-05-04;11.0;29.0;;20.0;(48.830303, 2.301819)
500;Contes d'État;Théâtre de la Cité Internationale - Cité Internationale Universitaire;Du 29 février 2024 au 23 mars 2024;17 bd Jourdan;Paris 14e;18 €;2024-02-29;2024-03-23;;;18.0;18.0;(48.820109, 2.338625)
501;Clôture de l'amour;Théâtre 14;Du 23 avril 2024 au 4 mai 2024;20 avenue Marc-Sangnier;Paris 14e;11-28 €;2024-04-23;2024-05-04;11.0;28.0;;19.5;(48.825896, 2.306846)
502;L'Âge de détruire;Théâtre Ouvert;Du 12 mars 2024 au 23 mars 2024;159 avenue Gambetta;Paris 20e;9-15 €;2024-03-12;2024-03-23;9.0;15.0;;12.0;(48.870475, 2.403139)
503;Qu’est-ce que tu crois ?;Le Mouffetard - Théâtre des arts de la marionnette;Du 24 mai 2024 au 25 mai 2024;73 rue Mouffetard;Paris 5e;14-22 €;2024-05-24;2024-05-25;14.0;22.0;;18.0;(48.842211, 2.349834)
504;Tellement sympa;IVT - International Visual Théâtre;Du 5 mars 2024 au 18 mars 2024;7 Cité Chaptal;Paris 9e;7-28 €;2024-03-05;2024-03-18;7.0;28.0;;17.5;(48.881432, 2.333126)
505;L'Épidémie;Théâtre de Nesle;Du 13 janvier 2024 au 21 janvier 2024;8 rue Nesle;Paris 6e;unknown;2024-01-13;2024-01-21;;;unknown;unknown;(48.855237, 2.339104)
