nom,heure,date,etablissement,prix,adresse,commune,geo
Chasse gardée,21:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,09:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,11:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Les Inséparables,14:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,09:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Jeff Panacloc : À la poursuite de Jean-Marc,11:05,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La Tresse,19:20,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
La Tresse,21:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,09:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,10:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,12:45,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,14:45,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,16:45,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Kina & Yuk : renards de la banquise,18:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,09:10,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,11:45,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,14:10,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,16:35,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,19:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Une affaire d'honneur,21:20,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,16:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Soudain seuls,22:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,09:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,10:55,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,12:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Sirocco et le Royaume des courants d’air,14:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,09:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,15:45,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Napoleon,20:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,13:15,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,15:20,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,17:25,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Voyage au pôle sud,19:30,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,09:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,11:30,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,14:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,16:40,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,19:20,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Perfect Days,21:50,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Winter Break,09:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
